county,office,district,party,candidate,votes
ADAIR,U.S. Senate,,DEM,"Carnahan, Jean",1973
ADAIR,U.S. Senate,,DEM,"Day, Darrel D.",710
ADAIR,U.S. Senate,,REP,"May, Joseph A.",38
ADAIR,U.S. Senate,,REP,"Talent, Jim",995
ADAIR,U.S. Senate,,REP,"Lindstedt, Martin",10
ADAIR,U.S. Senate,,REP,"Babbitt, Scott Craig",10
ADAIR,U.S. Senate,,REP,"Landfather, Doris Bass",27
ADAIR,U.S. Senate,,LIB,"Manley, Edward Joseph III",2
ADAIR,U.S. Senate,,LIB,"Millay, Tamara A.",4
ADAIR,State Auditor,,DEM,"McCaskill, Claire",2038
ADAIR,State Auditor,,REP,"Hanson, Al",662
ADAIR,State Auditor,,REP,"Kanzler, Jay L. Jr.",179
ADAIR,State Auditor,,LIB,"Trembley, Arnold J.",7
ADAIR,U.S. House,9,DEM,"Deichman, Donald M. (Don)",1897
ADAIR,U.S. House,9,REP,"Hulshof, Kenny C.",1064
ADAIR,U.S. House,9,LIB,"Mruzik, John",7
ADAIR,State Senate,18,DEM,"Berkowitz, Sam",2113
ADAIR,State Senate,18,REP,"Cauthorn, John W.",1017
ADAIR,State House,1,DEM,"Campbell, Paul",7
ADAIR,State House,1,REP,"Munzlinger, Brian",1
ADAIR,State House,2,DEM,"Cooper, Charles E.",1919
ADAIR,State House,2,REP,"Behnen, Robert J. (Bob)",1028
ANDREW,U.S. Senate,,DEM,"Carnahan, Jean",622
ANDREW,U.S. Senate,,DEM,"Day, Darrel D.",93
ANDREW,U.S. Senate,,REP,"May, Joseph A.",189
ANDREW,U.S. Senate,,REP,"Talent, Jim",2928
ANDREW,U.S. Senate,,REP,"Lindstedt, Martin",62
ANDREW,U.S. Senate,,REP,"Babbitt, Scott Craig",103
ANDREW,U.S. Senate,,REP,"Landfather, Doris Bass",189
ANDREW,U.S. Senate,,LIB,"Manley, Edward Joseph III",5
ANDREW,U.S. Senate,,LIB,"Millay, Tamara A.",11
ANDREW,State Auditor,,DEM,"McCaskill, Claire",601
ANDREW,State Auditor,,REP,"Hanson, Al",1819
ANDREW,State Auditor,,REP,"Kanzler, Jay L. Jr.",940
ANDREW,State Auditor,,LIB,"Trembley, Arnold J.",13
ANDREW,U.S. House,6,DEM,"Rinehart, Cathy",405
ANDREW,U.S. House,6,DEM,"Mitchell, Ed",137
ANDREW,U.S. House,6,DEM,"Gilstrap, David P.",87
ANDREW,U.S. House,6,REP,"Graves, Sam",3299
ANDREW,U.S. House,6,LIB,"Buck, Erik",15
ANDREW,State Senate,12,REP,"Klindt, David G.",2892
ANDREW,State House,28,DEM,"Davis, Lance",587
ANDREW,State House,28,REP,"Evans, Chris",704
ANDREW,State House,28,REP,"Ramsey, (Friday) Christin",1159
ANDREW,State House,28,REP,"Schaaf, Rob",1691
ANDREW,State House,28,REP,"Smith, Vincent F.",172
ATCHISON,U.S. Senate,,DEM,"Carnahan, Jean",561
ATCHISON,U.S. Senate,,DEM,"Day, Darrel D.",158
ATCHISON,U.S. Senate,,REP,"May, Joseph A.",118
ATCHISON,U.S. Senate,,REP,"Talent, Jim",589
ATCHISON,U.S. Senate,,REP,"Lindstedt, Martin",11
ATCHISON,U.S. Senate,,REP,"Babbitt, Scott Craig",15
ATCHISON,U.S. Senate,,REP,"Landfather, Doris Bass",24
ATCHISON,U.S. Senate,,LIB,"Manley, Edward Joseph III",1
ATCHISON,U.S. Senate,,LIB,"Millay, Tamara A.",1
ATCHISON,State Auditor,,DEM,"McCaskill, Claire",554
ATCHISON,State Auditor,,REP,"Hanson, Al",460
ATCHISON,State Auditor,,REP,"Kanzler, Jay L. Jr.",161
ATCHISON,State Auditor,,LIB,"Trembley, Arnold J.",2
ATCHISON,U.S. House,6,DEM,"Rinehart, Cathy",306
ATCHISON,U.S. House,6,DEM,"Mitchell, Ed",161
ATCHISON,U.S. House,6,DEM,"Gilstrap, David P.",87
ATCHISON,U.S. House,6,REP,"Graves, Sam",795
ATCHISON,U.S. House,6,LIB,"Buck, Erik",2
ATCHISON,State Senate,12,REP,"Klindt, David G.",690
ATCHISON,State House,4,DEM,"Dougan, Larry",398
ATCHISON,State House,4,DEM,"Ritterbusch, Robert L.",246
ATCHISON,State House,4,REP,"Lager, Brad",523
ATCHISON,State House,4,REP,"Dunn, Christopher",44
ATCHISON,State House,4,REP,"May, Leland",224
AUDRAIN,U.S. Senate,,DEM,"Carnahan, Jean",2461
AUDRAIN,U.S. Senate,,DEM,"Day, Darrel D.",792
AUDRAIN,U.S. Senate,,REP,"May, Joseph A.",41
AUDRAIN,U.S. Senate,,REP,"Talent, Jim",1419
AUDRAIN,U.S. Senate,,REP,"Lindstedt, Martin",14
AUDRAIN,U.S. Senate,,REP,"Babbitt, Scott Craig",13
AUDRAIN,U.S. Senate,,REP,"Landfather, Doris Bass",24
AUDRAIN,U.S. Senate,,LIB,"Manley, Edward Joseph III",6
AUDRAIN,U.S. Senate,,LIB,"Millay, Tamara A.",9
AUDRAIN,State Auditor,,DEM,"McCaskill, Claire",2798
AUDRAIN,State Auditor,,REP,"Hanson, Al",831
AUDRAIN,State Auditor,,REP,"Kanzler, Jay L. Jr.",402
AUDRAIN,State Auditor,,LIB,"Trembley, Arnold J.",15
AUDRAIN,U.S. House,9,DEM,"Deichman, Donald M. (Don)",2530
AUDRAIN,U.S. House,9,REP,"Hulshof, Kenny C.",1486
AUDRAIN,U.S. House,9,LIB,"Mruzik, John",15
AUDRAIN,State Senate,18,DEM,"Berkowitz, Sam",2525
AUDRAIN,State Senate,18,REP,"Cauthorn, John W.",1434
AUDRAIN,State House,9,DEM,"Shoemyer, Wes",59
AUDRAIN,State House,9,REP,"Hedberg, Jeff",59
AUDRAIN,State House,9,LIB,"Schultz, John",0
AUDRAIN,State House,10,DEM,"Witte, Terry L",713
AUDRAIN,State House,10,REP,"Graver, George",93
AUDRAIN,State House,10,REP,"Linnenbringer, Gary W.",258
AUDRAIN,State House,21,DEM,"Becker, Ann",755
AUDRAIN,State House,21,DEM,"Groves, Mike",1539
AUDRAIN,State House,21,REP,"Hobbs, Steve",896
BARRY,U.S. Senate,,DEM,"Carnahan, Jean",947
BARRY,U.S. Senate,,DEM,"Day, Darrel D.",177
BARRY,U.S. Senate,,REP,"May, Joseph A.",249
BARRY,U.S. Senate,,REP,"Talent, Jim",4643
BARRY,U.S. Senate,,REP,"Lindstedt, Martin",83
BARRY,U.S. Senate,,REP,"Babbitt, Scott Craig",132
BARRY,U.S. Senate,,REP,"Landfather, Doris Bass",233
BARRY,U.S. Senate,,LIB,"Manley, Edward Joseph III",2
BARRY,U.S. Senate,,LIB,"Millay, Tamara A.",7
BARRY,State Auditor,,DEM,"McCaskill, Claire",1001
BARRY,State Auditor,,REP,"Hanson, Al",3004
BARRY,State Auditor,,REP,"Kanzler, Jay L. Jr.",1396
BARRY,State Auditor,,LIB,"Trembley, Arnold J.",9
BARRY,U.S. House,7,DEM,"Lapham, Ron",955
BARRY,U.S. House,7,REP,"Blunt, Roy",5118
BARRY,U.S. House,7,LIB,"Burlison, Doug",9
BARRY,State House,68,DEM,"Vincent, Ruby",973
BARRY,State House,68,REP,"Bradley, Edward G.",758
BARRY,State House,68,REP,"Taylor, Larry Gene",3324
BARRY,State House,68,REP,"Sitton, Jerry",1396
BARTON,U.S. Senate,,DEM,"Carnahan, Jean",373
BARTON,U.S. Senate,,DEM,"Day, Darrel D.",69
BARTON,U.S. Senate,,REP,"May, Joseph A.",76
BARTON,U.S. Senate,,REP,"Talent, Jim",2293
BARTON,U.S. Senate,,REP,"Lindstedt, Martin",48
BARTON,U.S. Senate,,REP,"Babbitt, Scott Craig",74
BARTON,U.S. Senate,,REP,"Landfather, Doris Bass",90
BARTON,U.S. Senate,,LIB,"Manley, Edward Joseph III",3
BARTON,U.S. Senate,,LIB,"Millay, Tamara A.",0
BARTON,State Auditor,,DEM,"McCaskill, Claire",395
BARTON,State Auditor,,REP,"Hanson, Al",1338
BARTON,State Auditor,,REP,"Kanzler, Jay L. Jr.",688
BARTON,State Auditor,,LIB,"Trembley, Arnold J.",3
BARTON,U.S. House,4,DEM,"Skelton, Ike",404
BARTON,U.S. House,4,REP,"Noland, James A. (Jim)",1381
BARTON,U.S. House,4,REP,"Liffick, Chuck",140
BARTON,U.S. House,4,REP,"Brown, Bob",637
BARTON,U.S. House,4,LIB,"Nelson, Daniel Roy",3
BARTON,State Senate,28,DEM,"Meyer, Richard",133
BARTON,State Senate,28,DEM,"Johnson, Catherine D.",271
BARTON,State Senate,28,REP,"Scott, Delbert L.",1076
BARTON,State Senate,28,REP,"Boatright, Matt",1350
BARTON,State Senate,28,LIB,"Watson, Jesse O.",3
BARTON,State House,126,DEM,"Sprouls, Douglas J.",406
BARTON,State House,126,REP,"Bartosh, Joe",375
BARTON,State House,126,REP,"Emery, Ed",1276
BARTON,State House,126,REP,"Gardner, Scott",722
BARTON,State House,126,REP,"O'Connor, Bob",271
BATES,U.S. Senate,,DEM,"Carnahan, Jean",2484
BATES,U.S. Senate,,DEM,"Day, Darrel D.",856
BATES,U.S. Senate,,REP,"May, Joseph A.",27
BATES,U.S. Senate,,REP,"Talent, Jim",758
BATES,U.S. Senate,,REP,"Lindstedt, Martin",12
BATES,U.S. Senate,,REP,"Babbitt, Scott Craig",17
BATES,U.S. Senate,,REP,"Landfather, Doris Bass",19
BATES,U.S. Senate,,LIB,"Manley, Edward Joseph III",2
