county,office,district,party,candidate,votes
Adair,State Auditor,,REP,Tom Schweich,2314
Adair,State Auditor,,LIB,Sean O Toole,16
Adair,State Auditor,,CST,Rodney Farthing,0
Andrew,State Auditor,,REP,Tom Schweich,2352
Andrew,State Auditor,,LIB,Sean O Toole,15
Andrew,State Auditor,,CST,Rodney Farthing,12
Atchison,State Auditor,,REP,Tom Schweich,962
Atchison,State Auditor,,LIB,Sean O Toole,3
Atchison,State Auditor,,CST,Rodney Farthing,1
Audrain,State Auditor,,REP,Tom Schweich,1736
Audrain,State Auditor,,LIB,Sean O Toole,38
Audrain,State Auditor,,CST,Rodney Farthing,12
Barry,State Auditor,,REP,Tom Schweich,4351
Barry,State Auditor,,LIB,Sean O Toole,19
Barry,State Auditor,,CST,Rodney Farthing,14
Barton,State Auditor,,REP,Tom Schweich,1303
Barton,State Auditor,,LIB,Sean O Toole,8
Barton,State Auditor,,CST,Rodney Farthing,6
Bates,State Auditor,,REP,Tom Schweich,1311
Bates,State Auditor,,LIB,Sean O Toole,11
Bates,State Auditor,,CST,Rodney Farthing,20
Benton,State Auditor,,REP,Tom Schweich,2697
Benton,State Auditor,,LIB,Sean O Toole,14
Benton,State Auditor,,CST,Rodney Farthing,6
Bollinger,State Auditor,,REP,Tom Schweich,1883
Bollinger,State Auditor,,LIB,Sean O Toole,3
Bollinger,State Auditor,,CST,Rodney Farthing,7
Boone,State Auditor,,REP,Tom Schweich,8467
Boone,State Auditor,,LIB,Sean O Toole,505
Boone,State Auditor,,CST,Rodney Farthing,87
Buchanan,State Auditor,,REP,Tom Schweich,5189
Buchanan,State Auditor,,LIB,Sean O Toole,64
Buchanan,State Auditor,,CST,Rodney Farthing,25
Butler,State Auditor,,REP,Tom Schweich,4365
Butler,State Auditor,,LIB,Sean O Toole,5
Butler,State Auditor,,CST,Rodney Farthing,5
Caldwell,State Auditor,,REP,Tom Schweich,1174
Caldwell,State Auditor,,LIB,Sean O Toole,18
Caldwell,State Auditor,,CST,Rodney Farthing,5
Callaway,State Auditor,,REP,Tom Schweich,3725
Callaway,State Auditor,,LIB,Sean O Toole,66
Callaway,State Auditor,,CST,Rodney Farthing,24
Camden,State Auditor,,REP,Tom Schweich,6059
Camden,State Auditor,,LIB,Sean O Toole,32
Camden,State Auditor,,CST,Rodney Farthing,5
Cape Girardeau,State Auditor,,REP,Tom Schweich,10602
Cape Girardeau,State Auditor,,LIB,Sean O Toole,77
Cape Girardeau,State Auditor,,CST,Rodney Farthing,20
Carroll,State Auditor,,REP,Tom Schweich,1345
Carroll,State Auditor,,LIB,Sean O Toole,4
Carroll,State Auditor,,CST,Rodney Farthing,1
Carter,State Auditor,,REP,Tom Schweich,856
Carter,State Auditor,,LIB,Sean O Toole,1
Carter,State Auditor,,CST,Rodney Farthing,0
Cass,State Auditor,,REP,Tom Schweich,9643
Cass,State Auditor,,LIB,Sean O Toole,166
Cass,State Auditor,,CST,Rodney Farthing,58
Cedar,State Auditor,,REP,Tom Schweich,2251
Cedar,State Auditor,,LIB,Sean O Toole,10
Cedar,State Auditor,,CST,Rodney Farthing,6
Chariton,State Auditor,,REP,Tom Schweich,467
Chariton,State Auditor,,LIB,Sean O Toole,7
Chariton,State Auditor,,CST,Rodney Farthing,2
Christian,State Auditor,,REP,Tom Schweich,8941
Christian,State Auditor,,LIB,Sean O Toole,76
Christian,State Auditor,,CST,Rodney Farthing,37
Clark,State Auditor,,REP,Tom Schweich,758
Clark,State Auditor,,LIB,Sean O Toole,3
Clark,State Auditor,,CST,Rodney Farthing,5
Clay,State Auditor,,REP,Tom Schweich,13314
Clay,State Auditor,,LIB,Sean O Toole,157
Clay,State Auditor,,CST,Rodney Farthing,44
Clinton,State Auditor,,REP,Tom Schweich,2155
Clinton,State Auditor,,LIB,Sean O Toole,24
Clinton,State Auditor,,CST,Rodney Farthing,12
Cole,State Auditor,,REP,Tom Schweich,9862
Cole,State Auditor,,LIB,Sean O Toole,136
Cole,State Auditor,,CST,Rodney Farthing,26
Cooper,State Auditor,,REP,Tom Schweich,2577
Cooper,State Auditor,,LIB,Sean O Toole,22
Cooper,State Auditor,,CST,Rodney Farthing,3
Crawford,State Auditor,,REP,Tom Schweich,2203
Crawford,State Auditor,,LIB,Sean O Toole,16
Crawford,State Auditor,,CST,Rodney Farthing,4
Dade,State Auditor,,REP,Tom Schweich,1308
Dade,State Auditor,,LIB,Sean O Toole,2
Dade,State Auditor,,CST,Rodney Farthing,1
