county,office,district,party,candidate,votes
St. Louis,State House,67,DEM,Alan Green,4989
St. Louis,State House,67,REP,Dwayne A Strickland,1109
St. Louis,State House,67,LIB,Jeff Coleman,144
St. Louis,State House,67,IND,Tony Weaver,1130
Crawford,State House,120,DEM,Zechariah  Zech  Hockersmith,883
Crawford,State House,120,REP,Shawn Sisco,2340
Phelps,State House,120,DEM,Zechariah  Zech  Hockersmith,749
Phelps,State House,120,REP,Shawn Sisco,1713
Scott,State House,151,DEM,Ryan Wm. Holder,367
Scott,State House,151,REP,Tila Rowland Hubrecht,481
Stoddard,State House,151,DEM,Ryan Wm. Holder,1610
Stoddard,State House,151,REP,Tila Rowland Hubrecht,3098
