county,precinct,office,district,candidate,party,Votes
Audrain,Vandalia,Registered Voters,,,,1557
Audrain,Vandalia,Ballots Cast,,,,329
Audrain,Vandalia,Governor,,Raleigh Ritter,REP,7
Audrain,Vandalia,Governor,,Mike Parson,REP,159
Audrain,Vandalia,Governor,,James W. (Jim) Neely,REP,18
Audrain,Vandalia,Governor,,Saundra McDowell,REP,37
Audrain,Vandalia,Lieutenant Governor,,Arnie C. AC Dienoff,REP,7
Audrain,Vandalia,Lieutenant Governor,,Mike Kehoe,REP,153
Audrain,Vandalia,Lieutenant Governor,,Aaron T. Wisdom,REP,15
Audrain,Vandalia,Lieutenant Governor,,Mike Carter,REP,35
Audrain,Vandalia,Secretary of State,,John R. (Jay) Ashcroft,REP,205
Audrain,Vandalia,State Treasurer,,Scott Fitzpatrick,REP,203
Audrain,Vandalia,Attorney General,,Eric Schmitt,REP,203
Audrain,Vandalia,U.S. House,4,Neal Gist,REP,
Audrain,Vandalia,U.S. House,4,Vicky Hartzler,REP,
Audrain,Vandalia,U.S. House,6,Sam Graves,REP,176
Audrain,Vandalia,U.S. House,6,Chris Ryan,REP,39
Audrain,Vandalia,State House,43,Kent Haden,REP,200
Audrain,Vandalia,Governor,,Nicole Galloway,DEM,90
Audrain,Vandalia,Governor,,Jimmie Matthews,DEM,6
Audrain,Vandalia,Governor,,Antoin Johnson,DEM,2
Audrain,Vandalia,Governor,,Eric Morrison,DEM,5
Audrain,Vandalia,Governor,,Robin John Daniel Van Quaethem,DEM,0
Audrain,Vandalia,Lieutenant Governor,,Gregory A. Upchurch,DEM,49
Audrain,Vandalia,Lieutenant Governor,,Alissia Canady,DEM,49
Audrain,Vandalia,Secretary of State,,Yinka Faleti,DEM,86
Audrain,Vandalia,State Treasurer,,Vicki Lorenz Englund,DEM,91
Audrain,Vandalia,Attorney General,,Rich Finneran,DEM,70
Audrain,Vandalia,Attorney General,,Elad Gross,DEM,23
Audrain,Vandalia,U.S. House,4,Lindsey Simmons,DEM,
