county,precinct,office,district,candidate,party,votes
Barry,Butterfield/McDonald,Registered Voters,,,,760
Barry,Butterfield/McDonald,Ballots Cast,,,,282
Barry,Butterfield/McDonald,Governor,,Raleigh Ritter,REP,19
Barry,Butterfield/McDonald,Governor,,Mike Parson,REP,188
Barry,Butterfield/McDonald,Governor,,James W. (Jim) Neely,REP,19
Barry,Butterfield/McDonald,Governor,,Saundra McDowell,REP,31
Barry,Butterfield/McDonald,Lieutenant Governor,,Arnie C. AC Dienoff,REP,15
Barry,Butterfield/McDonald,Lieutenant Governor,,Mike Kehoe,REP,98
Barry,Butterfield/McDonald,Lieutenant Governor,,Aaron T. Wisdom,REP,29
Barry,Butterfield/McDonald,Lieutenant Governor,,Mike Carter,REP,79
Barry,Butterfield/McDonald,Secretary of State,,John R. (Jay) Ashcroft,REP,237
Barry,Butterfield/McDonald,State Treasurer,,Scott Fitzpatrick,REP,235
Barry,Butterfield/McDonald,Attorney General,,Eric Schmitt,REP,224
Barry,Butterfield/McDonald,U.S. House,7,Eric Harleman,REP,25
Barry,Butterfield/McDonald,U.S. House,7,Kevin VanStory,REP,13
Barry,Butterfield/McDonald,U.S. House,7,Steve Chentnik,REP,4
Barry,Butterfield/McDonald,U.S. House,7,Billy Long,REP,194
Barry,Butterfield/McDonald,U.S. House,7,Camille Lombardi-Olive,REP,11
Barry,Butterfield/McDonald,State Senate,29,Mike Moon,REP,100
Barry,Butterfield/McDonald,State Senate,29,David Cole,REP,168
Barry,Butterfield/McDonald,State Representative,158,Scott Cupps,REP,216
Barry,Butterfield/McDonald,Governor,,Nicole Galloway,DEM,8
Barry,Butterfield/McDonald,Governor,,Jimmie Matthews,DEM,0
Barry,Butterfield/McDonald,Governor,,Antoin Johnson,DEM,1
Barry,Butterfield/McDonald,Governor,,Eric Morrison,DEM,0
Barry,Butterfield/McDonald,Governor,,Robin John Daniel Van Quaethem,DEM,1
Barry,Butterfield/McDonald,Lieutenant Governor,,Gregory A. Upchurch,DEM,3
Barry,Butterfield/McDonald,Lieutenant Governor,,Alissia Canady,DEM,7
Barry,Butterfield/McDonald,Secretary of State,,Yinka Faleti,DEM,9
Barry,Butterfield/McDonald,State Treasurer,,Vicki Lorenz Englund,DEM,10
Barry,Butterfield/McDonald,Attorney General,,Rich Finneran,DEM,7
Barry,Butterfield/McDonald,Attorney General,,Elad Gross,DEM,2
Barry,Butterfield/McDonald,U.S. House,7,Teresa Montseny,DEM,10
Barry,Butterfield/McDonald,State Representative,158,Brenda McKinney,DEM,8
Barry,Butterfield/McDonald,Governor,,Rik Combs,LIB,0
Barry,Butterfield/McDonald,Lieutenant Governor,,Bill Slantz,LIB,0
Barry,Butterfield/McDonald,Secretary of State,,Carl Herman Freese,LIB,0
Barry,Butterfield/McDonald,State Treasurer,,Nicholas (Nick) Kasoff,LIB,0
Barry,Butterfield/McDonald,Attorney General,,Kevin C. Babcock,LIB,0
Barry,Butterfield/McDonald,U.S. House,7,Kevin Craig,LIB,0
Barry,Butterfield/McDonald,Governor,,Jerome Howard Bauer,GRN,0
Barry,Butterfield/McDonald,Lieutenant Governor,,Kelley Dragoo,GRN,0
Barry,Butterfield/McDonald,Secretary of State,,Paul Lehmann,GRN,0
Barry,Butterfield/McDonald,State Treasurer,,Joseph Civettini,GRN,0
Barry,Butterfield/McDonald,Secretary of State,,Paul Venable,CST,0
Barry,Cassville City,Registered Voters,,,,1913
Barry,Cassville City,Ballots Cast,,,,693
Barry,Cassville City,Governor,,Raleigh Ritter,REP,26
Barry,Cassville City,Governor,,Mike Parson,REP,489
Barry,Cassville City,Governor,,James W. (Jim) Neely,REP,38
Barry,Cassville City,Governor,,Saundra McDowell,REP,78
Barry,Cassville City,Lieutenant Governor,,Arnie C. AC Dienoff,REP,34
Barry,Cassville City,Lieutenant Governor,,Mike Kehoe,REP,292
Barry,Cassville City,Lieutenant Governor,,Aaron T. Wisdom,REP,59
Barry,Cassville City,Lieutenant Governor,,Mike Carter,REP,164
Barry,Cassville City,Secretary of State,,John R. (Jay) Ashcroft,REP,550
