county,precinct,office,district,party,candidate,vos
Buchanan,1- ST PETER,Registered Voters,,,,2234
Buchanan,1- ST PETER,Ballots Cast,,DEM,,327
Buchanan,1- ST PETER,Ballots Cast,,REP,,152
Buchanan,1- ST PETER,President,,CON,Don Blankenship,1
Buchanan,1- ST PETER,President,,LIB,Jacob Hornberger,1
Buchanan,1- ST PETER,President,,DEM,AMY KLOBUCHAR,0
Buchanan,1- ST PETER,President,,DEM,TOM STEYER,0
Buchanan,1- ST PETER,President,,DEM,TULSI GABBARD,6
Buchanan,1- ST PETER,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,1- ST PETER,President,,DEM,CORY BOOKER,0
Buchanan,1- ST PETER,President,,DEM,JOSEPH R. BIDEN,197
Buchanan,1- ST PETER,President,,DEM,ELIZABETH WARREN,0
Buchanan,1- ST PETER,President,,DEM,PETE BUTTIGIEG,0
Buchanan,1- ST PETER,President,,DEM,BERNIE SANDERS,120
Buchanan,1- ST PETER,President,,DEM,VELMA STEINMAN,0
Buchanan,1- ST PETER,President,,DEM,HENRY HEWES,0
Buchanan,1- ST PETER,President,,DEM,ANDREW YANG,0
Buchanan,1- ST PETER,President,,DEM,ROQUE DE LA FUENTE,0
Buchanan,1- ST PETER,President,,DEM,JOHN K. DELANEY,0
Buchanan,1- ST PETER,President,,DEM,JULIAN CASTRO,0
Buchanan,1- ST PETER,President,,DEM,DEVAL PATRICK,0
Buchanan,1- ST PETER,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,1- ST PETER,President,,DEM,MICHAEL BENNET,0
Buchanan,1- ST PETER,President,,DEM,MICHAEL R. BLOOMBERG,2
Buchanan,1- ST PETER,President,,DEM,STEVE BURKE,0
Buchanan,1- ST PETER,President,,DEM,ROBBY WELLS,0
Buchanan,1- ST PETER,President,,DEM,WILLIAM C. (BILL) HAAS,0
Buchanan,1- ST PETER,President,,DEM,Uncommitted,2
Buchanan,1- ST PETER,President,,REP,DONALD J TRUMP,144
Buchanan,1- ST PETER,President,,REP,BOB ELY,2
Buchanan,1- ST PETER,President,,REP,BILL WELD,2
Buchanan,1- ST PETER,President,,REP,JOE WALSH,4
Buchanan,1- ST PETER,President,,REP,MATTHEW JOHN MATERN,0
Buchanan,1- ST PETER,President,,REP,Uncommitted,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,Registered Voters,,,,2619
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,Ballots Cast,,DEM,,266
