county,precinct,office,district,party,candidate,vos
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,Ballots Cast,,REP,,145
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,AMY KLOBUCHAR,2
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,TOM STEYER,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,TULSI GABBARD,4
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,CORY BOOKER,1
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,JOSEPH R. BIDEN,137
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,ELIZABETH WARREN,5
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,PETE BUTTIGIEG,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,BERNIE SANDERS,110
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,VELMA STEINMAN,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,HENRY HEWES,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,ANDREW YANG,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,ROQUE DE LA FUENTE,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,JOHN K. DELANEY,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,JULIAN CASTRO,1
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,DEVAL PATRICK,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,MICHAEL BENNET,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,MICHAEL R. BLOOMBERG,5
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,STEVE BURKE,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,ROBBY WELLS,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,WILLIAM C. (BILL) HAAS,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,DEM,Uncommitted,1
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,REP,DONALD J TRUMP,141
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,REP,BOB ELY,1
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,REP,BILL WELD,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,REP,JOE WALSH,2
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,REP,MATTHEW JOHN MATERN,0
Buchanan,2- SOJOURN ON SAVANNAH AVENUE,President,,REP,Uncommitted,1
Buchanan,3- ST. JOSEPH VISITORS BUREAU,Registered Voters,,,,2622
Buchanan,3- ST. JOSEPH VISITORS BUREAU,Ballots Cast,,DEM,,339
Buchanan,3- ST. JOSEPH VISITORS BUREAU,Ballots Cast,,REP,,71
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,AMY KLOBUCHAR,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,TOM STEYER,1
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,TULSI GABBARD,1
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,CORY BOOKER,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,JOSEPH R. BIDEN,165
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,ELIZABETH WARREN,3
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,PETE BUTTIGIEG,1
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,BERNIE SANDERS,163
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,VELMA STEINMAN,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,HENRY HEWES,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,ANDREW YANG,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,ROQUE DE LA FUENTE,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,JOHN K. DELANEY,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,JULIAN CASTRO,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,DEVAL PATRICK,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,MICHAEL BENNET,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,MICHAEL R. BLOOMBERG,5
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,STEVE BURKE,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,ROBBY WELLS,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,WILLIAM C. (BILL) HAAS,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,DEM,Uncommitted,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,REP,DONALD J TRUMP,64
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,REP,BOB ELY,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,REP,BILL WELD,2
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,REP,JOE WALSH,2
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,REP,MATTHEW JOHN MATERN,0
Buchanan,3- ST. JOSEPH VISITORS BUREAU,President,,REP,Uncommitted,3
Buchanan,4- BROOKDALE,Registered Voters,,,,2816
Buchanan,4- BROOKDALE,Ballots Cast,,DEM,,458
Buchanan,4- BROOKDALE,Ballots Cast,,REP,,143
Buchanan,4- BROOKDALE,President,,GRN,Dario Hunter,1
Buchanan,4- BROOKDALE,President,,GRN,David Rolde,1
Buchanan,4- BROOKDALE,President,,LIB,Jacob Hornberger,2
Buchanan,4- BROOKDALE,President,,LIB,uncommitted,1
Buchanan,4- BROOKDALE,President,,DEM,AMY KLOBUCHAR,0
Buchanan,4- BROOKDALE,President,,DEM,TOM STEYER,1
Buchanan,4- BROOKDALE,President,,DEM,TULSI GABBARD,2
Buchanan,4- BROOKDALE,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,4- BROOKDALE,President,,DEM,CORY BOOKER,0
Buchanan,4- BROOKDALE,President,,DEM,JOSEPH R. BIDEN,232
Buchanan,4- BROOKDALE,President,,DEM,ELIZABETH WARREN,3
Buchanan,4- BROOKDALE,President,,DEM,PETE BUTTIGIEG,1
Buchanan,4- BROOKDALE,President,,DEM,BERNIE SANDERS,216
Buchanan,4- BROOKDALE,President,,DEM,VELMA STEINMAN,0
Buchanan,4- BROOKDALE,President,,DEM,HENRY HEWES,0
Buchanan,4- BROOKDALE,President,,DEM,ANDREW YANG,0
Buchanan,4- BROOKDALE,President,,DEM,ROQUE DE LA FUENTE,0
Buchanan,4- BROOKDALE,President,,DEM,JOHN K. DELANEY,
Buchanan,4- BROOKDALE,President,,DEM,JULIAN CASTRO,0
Buchanan,4- BROOKDALE,President,,DEM,DEVAL PATRICK,0
Buchanan,4- BROOKDALE,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,4- BROOKDALE,President,,DEM,MICHAEL BENNET,0
Buchanan,4- BROOKDALE,President,,DEM,MICHAEL R. BLOOMBERG,3
Buchanan,4- BROOKDALE,President,,DEM,STEVE BURKE,0
Buchanan,4- BROOKDALE,President,,DEM,ROBBY WELLS,0
Buchanan,4- BROOKDALE,President,,DEM,WILLIAM C. (BILL) HAAS,0
Buchanan,4- BROOKDALE,President,,DEM,Uncommitted,0
Buchanan,4- BROOKDALE,President,,REP,DONALD J TRUMP,135
Buchanan,4- BROOKDALE,President,,REP,BOB ELY,0
Buchanan,4- BROOKDALE,President,,REP,BILL WELD,3
Buchanan,4- BROOKDALE,President,,REP,JOE WALSH,2
Buchanan,4- BROOKDALE,President,,REP,MATTHEW JOHN MATERN,2
Buchanan,4- BROOKDALE,President,,REP,Uncommitted,1
Buchanan,5- PONY EXPRESS,Registered Voters,,,,1893
Buchanan,5- PONY EXPRESS,Ballots Cast,,DEM,,219
Buchanan,5- PONY EXPRESS,Ballots Cast,,REP,,71
Buchanan,5- PONY EXPRESS,President,,CON,Don Blankenship,1
Buchanan,5- PONY EXPRESS,President,,DEM,AMY KLOBUCHAR,0
Buchanan,5- PONY EXPRESS,President,,DEM,TOM STEYER,0
Buchanan,5- PONY EXPRESS,President,,DEM,TULSI GABBARD,3
Buchanan,5- PONY EXPRESS,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,5- PONY EXPRESS,President,,DEM,CORY BOOKER,1
Buchanan,5- PONY EXPRESS,President,,DEM,JOSEPH R. BIDEN,92
Buchanan,5- PONY EXPRESS,President,,DEM,ELIZABETH WARREN,3
Buchanan,5- PONY EXPRESS,President,,DEM,PETE BUTTIGIEG,0
Buchanan,5- PONY EXPRESS,President,,DEM,BERNIE SANDERS,118
Buchanan,5- PONY EXPRESS,President,,DEM,VELMA STEINMAN,0
Buchanan,5- PONY EXPRESS,President,,DEM,HENRY HEWES,0
Buchanan,5- PONY EXPRESS,President,,DEM,ANDREW YANG,0
Buchanan,5- PONY EXPRESS,President,,DEM,ROQUE DE LA FUENTE,0
Buchanan,5- PONY EXPRESS,President,,DEM,JOHN K. DELANEY,0
Buchanan,5- PONY EXPRESS,President,,DEM,JULIAN CASTRO,0
Buchanan,5- PONY EXPRESS,President,,DEM,DEVAL PATRICK,1
Buchanan,5- PONY EXPRESS,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,5- PONY EXPRESS,President,,DEM,MICHAEL BENNET,0
Buchanan,5- PONY EXPRESS,President,,DEM,MICHAEL R. BLOOMBERG,1
Buchanan,5- PONY EXPRESS,President,,DEM,STEVE BURKE,0
Buchanan,5- PONY EXPRESS,President,,DEM,ROBBY WELLS,0
Buchanan,5- PONY EXPRESS,President,,DEM,WILLIAM C. (BILL) HAAS,0
Buchanan,5- PONY EXPRESS,President,,DEM,Uncommitted,0
Buchanan,5- PONY EXPRESS,President,,REP,DONALD J TRUMP,67
Buchanan,5- PONY EXPRESS,President,,REP,BOB ELY,0
Buchanan,5- PONY EXPRESS,President,,REP,BILL WELD,1
Buchanan,5- PONY EXPRESS,President,,REP,JOE WALSH,2
Buchanan,5- PONY EXPRESS,President,,REP,MATTHEW JOHN MATERN,0
Buchanan,5- PONY EXPRESS,President,,REP,Uncommitted,1
Buchanan,6- COPELAND,Registered Voters,,,,1849
Buchanan,6- COPELAND,Ballots Cast,,DEM,,248
Buchanan,6- COPELAND,Ballots Cast,,REP,,96
Buchanan,6- COPELAND,President,,DEM,AMY KLOBUCHAR,0
Buchanan,6- COPELAND,President,,DEM,TOM STEYER,0
Buchanan,6- COPELAND,President,,DEM,TULSI GABBARD,5
Buchanan,6- COPELAND,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,6- COPELAND,President,,DEM,CORY BOOKER,1
Buchanan,6- COPELAND,President,,DEM,JOSEPH R. BIDEN,119
Buchanan,6- COPELAND,President,,DEM,ELIZABETH WARREN,0
Buchanan,6- COPELAND,President,,DEM,PETE BUTTIGIEG,0
Buchanan,6- COPELAND,President,,DEM,BERNIE SANDERS,120
Buchanan,6- COPELAND,President,,DEM,VELMA STEINMAN,0
Buchanan,6- COPELAND,President,,DEM,HENRY HEWES,0
Buchanan,6- COPELAND,President,,DEM,ANDREW YANG,0
Buchanan,6- COPELAND,President,,DEM,ROQUE DE LA FUENTE,0
Buchanan,6- COPELAND,President,,DEM,JOHN K. DELANEY,0
Buchanan,6- COPELAND,President,,DEM,JULIAN CASTRO,0
Buchanan,6- COPELAND,President,,DEM,DEVAL PATRICK,0
Buchanan,6- COPELAND,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,6- COPELAND,President,,DEM,MICHAEL BENNET,0
Buchanan,6- COPELAND,President,,DEM,MICHAEL R. BLOOMBERG,3
Buchanan,6- COPELAND,President,,DEM,STEVE BURKE,0
Buchanan,6- COPELAND,President,,DEM,ROBBY WELLS,0
Buchanan,6- COPELAND,President,,DEM,WILLIAM C. (BILL) HAAS,0
Buchanan,6- COPELAND,President,,DEM,Uncommitted,0
Buchanan,6- COPELAND,President,,REP,DONALD J TRUMP,91
Buchanan,6- COPELAND,President,,REP,BOB ELY,0
Buchanan,6- COPELAND,President,,REP,BILL WELD,0
Buchanan,6- COPELAND,President,,REP,JOE WALSH,2
Buchanan,6- COPELAND,President,,REP,MATTHEW JOHN MATERN,1
Buchanan,6- COPELAND,President,,REP,Uncommitted,2
Buchanan,7- HUFFMAN,Registered Voters,,,,4266
Buchanan,7- HUFFMAN,Ballots Cast,,DEM,,645
Buchanan,7- HUFFMAN,Ballots Cast,,REP,,229
Buchanan,7- HUFFMAN,President,,LIB,Jacob Hornberger,2
Buchanan,7- HUFFMAN,President,,DEM,AMY KLOBUCHAR,2
Buchanan,7- HUFFMAN,President,,DEM,TOM STEYER,0
Buchanan,7- HUFFMAN,President,,DEM,TULSI GABBARD,4
Buchanan,7- HUFFMAN,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,7- HUFFMAN,President,,DEM,CORY BOOKER,1
Buchanan,7- HUFFMAN,President,,DEM,JOSEPH R. BIDEN,194
Buchanan,7- HUFFMAN,President,,DEM,ELIZABETH WARREN,0
Buchanan,7- HUFFMAN,President,,DEM,PETE BUTTIGIEG,1
Buchanan,7- HUFFMAN,President,,DEM,BERNIE SANDERS,136
Buchanan,7- HUFFMAN,President,,DEM,VELMA STEINMAN,0
Buchanan,7- HUFFMAN,President,,DEM,HENRY HEWES,1
Buchanan,7- HUFFMAN,President,,DEM,ANDREW YANG,1
Buchanan,7- HUFFMAN,President,,DEM,ROQUE DE LA FUENTE,1
Buchanan,7- HUFFMAN,President,,DEM,JOHN K. DELANEY,0
Buchanan,7- HUFFMAN,President,,DEM,JULIAN CASTRO,0
Buchanan,7- HUFFMAN,President,,DEM,DEVAL PATRICK,0
Buchanan,7- HUFFMAN,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,7- HUFFMAN,President,,DEM,MICHAEL BENNET,0
Buchanan,7- HUFFMAN,President,,DEM,MICHAEL R. BLOOMBERG,2
Buchanan,7- HUFFMAN,President,,DEM,STEVE BURKE,0
Buchanan,7- HUFFMAN,President,,DEM,ROBBY WELLS,0
Buchanan,7- HUFFMAN,President,,DEM,WILLIAM C. (BILL) HAAS,0
Buchanan,7- HUFFMAN,President,,DEM,Uncommitted,2
Buchanan,7- HUFFMAN,President,,REP,DONALD J TRUMP,201
Buchanan,7- HUFFMAN,President,,REP,BOB ELY,0
Buchanan,7- HUFFMAN,President,,REP,BILL WELD,2
Buchanan,7- HUFFMAN,President,,REP,JOE WALSH,1
Buchanan,7- HUFFMAN,President,,REP,MATTHEW JOHN MATERN,1
Buchanan,7- HUFFMAN,President,,REP,Uncommitted,2
Buchanan,8- EVOLUTION,Registered Voters,,,,3825
Buchanan,8- EVOLUTION,Ballots Cast,,DEM,,345
Buchanan,8- EVOLUTION,Ballots Cast,,REP,,207
Buchanan,8- EVOLUTION,President,,CON,Don Grundmann,1
Buchanan,8- EVOLUTION,President,,LIB,Jacob Hornberger,2
Buchanan,8- EVOLUTION,President,,DEM,AMY KLOBUCHAR,2
Buchanan,8- EVOLUTION,President,,DEM,TOM STEYER,0
Buchanan,8- EVOLUTION,President,,DEM,TULSI GABBARD,4
Buchanan,8- EVOLUTION,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,8- EVOLUTION,President,,DEM,CORY BOOKER,1
Buchanan,8- EVOLUTION,President,,DEM,JOSEPH R. BIDEN,194
Buchanan,8- EVOLUTION,President,,DEM,ELIZABETH WARREN,0
Buchanan,8- EVOLUTION,President,,DEM,PETE BUTTIGIEG,1
Buchanan,8- EVOLUTION,President,,DEM,BERNIE SANDERS,136
Buchanan,8- EVOLUTION,President,,DEM,VELMA STEINMAN,0
Buchanan,8- EVOLUTION,President,,DEM,HENRY HEWES,1
Buchanan,8- EVOLUTION,President,,DEM,ANDREW YANG,1
Buchanan,8- EVOLUTION,President,,DEM,ROQUE DE LA FUENTE,1
Buchanan,8- EVOLUTION,President,,DEM,JOHN K. DELANEY,0
Buchanan,8- EVOLUTION,President,,DEM,JULIAN CASTRO,0
Buchanan,8- EVOLUTION,President,,DEM,DEVAL PATRICK,0
Buchanan,8- EVOLUTION,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,8- EVOLUTION,President,,DEM,MICHAEL BENNET,0
Buchanan,8- EVOLUTION,President,,DEM,MICHAEL R. BLOOMBERG,2
Buchanan,8- EVOLUTION,President,,DEM,STEVE BURKE,0
Buchanan,8- EVOLUTION,President,,DEM,ROBBY WELLS,0
Buchanan,8- EVOLUTION,President,,DEM,WILLIAM C. (BILL) HAAS,0
Buchanan,8- EVOLUTION,President,,DEM,Uncommitted,2
Buchanan,8- EVOLUTION,President,,REP,DONALD J TRUMP,201
Buchanan,8- EVOLUTION,President,,REP,BOB ELY,0
Buchanan,8- EVOLUTION,President,,REP,BILL WELD,2
Buchanan,8- EVOLUTION,President,,REP,JOE WALSH,1
Buchanan,8- EVOLUTION,President,,REP,MATTHEW JOHN MATERN,1
Buchanan,8- EVOLUTION,President,,REP,Uncommitted,2
Buchanan,9- KEYS,Registered Voters,,,,2623
Buchanan,9- KEYS,Ballots Cast,,DEM,,321
Buchanan,9- KEYS,Ballots Cast,,REP,,196
Buchanan,9- KEYS,President,,GRN,uncommitted,1
Buchanan,9- KEYS,President,,LIB,Jacob Hornberger,1
Buchanan,9- KEYS,President,,DEM,AMY KLOBUCHAR,0
Buchanan,9- KEYS,President,,DEM,TOM STEYER,1
Buchanan,9- KEYS,President,,DEM,TULSI GABBARD,2
Buchanan,9- KEYS,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,9- KEYS,President,,DEM,CORY BOOKER,0
Buchanan,9- KEYS,President,,DEM,JOSEPH R. BIDEN,225
Buchanan,9- KEYS,President,,DEM,ELIZABETH WARREN,1
Buchanan,9- KEYS,President,,DEM,PETE BUTTIGIEG,0
Buchanan,9- KEYS,President,,DEM,BERNIE SANDERS,84
Buchanan,9- KEYS,President,,DEM,VELMA STEINMAN,0
Buchanan,9- KEYS,President,,DEM,HENRY HEWES,0
Buchanan,9- KEYS,President,,DEM,ANDREW YANG,1
Buchanan,9- KEYS,President,,DEM,ROQUE DE LA FUENTE,0
Buchanan,9- KEYS,President,,DEM,JOHN K. DELANEY,0
Buchanan,9- KEYS,President,,DEM,JULIAN CASTRO,0
Buchanan,9- KEYS,President,,DEM,DEVAL PATRICK,0
Buchanan,9- KEYS,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,9- KEYS,President,,DEM,MICHAEL BENNET,0
Buchanan,9- KEYS,President,,DEM,MICHAEL R. BLOOMBERG,5
Buchanan,9- KEYS,President,,DEM,STEVE BURKE,0
Buchanan,9- KEYS,President,,DEM,ROBBY WELLS,0
Buchanan,9- KEYS,President,,DEM,WILLIAM C. (BILL) HAAS,0
Buchanan,9- KEYS,President,,DEM,Uncommitted,2
Buchanan,9- KEYS,President,,REP,DONALD J TRUMP,191
Buchanan,9- KEYS,President,,REP,BOB ELY,0
Buchanan,9- KEYS,President,,REP,BILL WELD,0
Buchanan,9- KEYS,President,,REP,JOE WALSH,2
Buchanan,9- KEYS,President,,REP,MATTHEW JOHN MATERN,0
Buchanan,9- KEYS,President,,REP,Uncommitted,3
Buchanan,10- FAITH,Registered Voters,,,,2110
Buchanan,10- FAITH,Ballots Cast,,DEM,,361
Buchanan,10- FAITH,Ballots Cast,,REP,,145
Buchanan,10- FAITH,President,,DEM,AMY KLOBUCHAR,2
Buchanan,10- FAITH,President,,DEM,TOM STEYER,2
Buchanan,10- FAITH,President,,DEM,TULSI GABBARD,1
Buchanan,10- FAITH,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,10- FAITH,President,,DEM,CORY BOOKER,0
Buchanan,10- FAITH,President,,DEM,JOSEPH R. BIDEN,229
Buchanan,10- FAITH,President,,DEM,ELIZABETH WARREN,1
Buchanan,10- FAITH,President,,DEM,PETE BUTTIGIEG,1
Buchanan,10- FAITH,President,,DEM,BERNIE SANDERS,124
Buchanan,10- FAITH,President,,DEM,VELMA STEINMAN,0
Buchanan,10- FAITH,President,,DEM,HENRY HEWES,0
Buchanan,10- FAITH,President,,DEM,ANDREW YANG,0
Buchanan,10- FAITH,President,,DEM,ROQUE DE LA FUENTE,0
Buchanan,10- FAITH,President,,DEM,JOHN K. DELANEY,0
Buchanan,10- FAITH,President,,DEM,JULIAN CASTRO,0
Buchanan,10- FAITH,President,,DEM,DEVAL PATRICK,0
Buchanan,10- FAITH,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,10- FAITH,President,,DEM,MICHAEL BENNET,0
Buchanan,10- FAITH,President,,DEM,MICHAEL R. BLOOMBERG,0
Buchanan,10- FAITH,President,,DEM,STEVE BURKE,0
Buchanan,10- FAITH,President,,DEM,ROBBY WELLS,0
Buchanan,10- FAITH,President,,DEM,WILLIAM C. (BILL) HAAS,1
Buchanan,10- FAITH,President,,DEM,Uncommitted,0
Buchanan,10- FAITH,President,,REP,DONALD J TRUMP,138
Buchanan,10- FAITH,President,,REP,BOB ELY,0
Buchanan,10- FAITH,President,,REP,BILL WELD,1
Buchanan,10- FAITH,President,,REP,JOE WALSH,2
Buchanan,10- FAITH,President,,REP,MATTHEW JOHN MATERN,1
Buchanan,10- FAITH,President,,REP,Uncommitted,3
Buchanan,11- ASHLAND,Registered Voters,,,,3104
Buchanan,11- ASHLAND,Ballots Cast,,DEM,,578
Buchanan,11- ASHLAND,Ballots Cast,,REP,,184
Buchanan,11- ASHLAND,President,,DEM,AMY KLOBUCHAR,2
Buchanan,11- ASHLAND,President,,DEM,TOM STEVER,0
Buchanan,11- ASHLAND,President,,DEM,TULSI GABBARD,7
Buchanan,11- ASHLAND,President,,DEM,LEONARD J. STEINMAN 11,0
Buchanan,11- ASHLAND,President,,DEM,CORY BOOKER,0
Buchanan,11- ASHLAND,President,,DEM,JOSEPH R. BIDEN,359
Buchanan,11- ASHLAND,President,,DEM,ELIZABETH WARREN,7
Buchanan,11- ASHLAND,President,,DEM,PETE BUTTIGIEG,0
Buchanan,11- ASHLAND,President,,DEM,BERNIE SANDERS,198
Buchanan,11- ASHLAND,President,,DEM,VELMA STEINMAN,0
Buchanan,11- ASHLAND,President,,DEM,HENRY HEWES,0
Buchanan,11- ASHLAND,President,,DEM,ANDREW YANG,4
Buchanan,11- ASHLAND,President,,DEM,ROQUE DE LA FUENTE,0
Buchanan,11- ASHLAND,President,,DEM,JOHN K. DELANEY,0
Buchanan,11- ASHLAND,President,,DEM,JULIAN CASTRO,0
Buchanan,11- ASHLAND,President,,DEM,DEVAL PATRICK,0
Buchanan,11- ASHLAND,President,,DEM,MARIANNE WILLIAMSON,0
Buchanan,11- ASHLAND,President,,DEM,MICHAEL BENNET,1
Buchanan,11- ASHLAND,President,,DEM,MICHAEL R. BLOOMBERG,0
Buchanan,11- ASHLAND,President,,DEM,STEVE BURKE,0
Buchanan,11- ASHLAND,President,,DEM,ROBBY WELLS,0
Buchanan,11- ASHLAND,President,,DEM,WILLIAM C. (BILL) HAAS,0
Buchanan,11- ASHLAND,President,,DEM,Uncommitted,0
Buchanan,11- ASHLAND,President,,REP,DONALD J TRUMP,180
Buchanan,11- ASHLAND,President,,REP,BOB ELY,0
Buchanan,11- ASHLAND,President,,REP,BILL WELD,0
Buchanan,11- ASHLAND,President,,REP,JOE WALSH,0
Buchanan,11- ASHLAND,President,,REP,MATTHEW JOHN MATERN,0
Buchanan,11- ASHLAND,President,,REP,Uncommitted,4
Buchanan,12- WESEY,Registered Voters,,,,2295
Buchanan,12- WESEY,Ballots Cast,,DEM,,323
Buchanan,12- WESEY,Ballots Cast,,REP,,164
Buchanan,12- WESEY,President,,LIB,Jacob Hornberger,2
Buchanan,12- WESEY,President,,DEM,AMY KLOBUCHAR,2
Buchanan,12- WESEY,President,,DEM,TOM STEYER,2
Buchanan,12- WESEY,President,,DEM,TULSI GABBARD,3
Buchanan,12- WESEY,President,,DEM,LEONARD J. STEINMAN II,0
Buchanan,12- WESEY,President,,DEM,CORY BOOKER,0
Buchanan,12- WESEY,President,,DEM,JOSEPH R. BIDEN,227
Buchanan,12- WESEY,President,,DEM,ELIZABETH WARREN,2
Buchanan,12- WESEY,President,,DEM,PETE BUTTIGIEG,1
Buchanan,12- WESEY,President,,DEM,BERNIE SANDERS,136
Buchanan,12- WESEY,President,,DEM,VELMA STEINMAN,0
Buchanan,12- WESEY,President,,DEM,HENRY HEWES,0
Buchanan,12- WESEY,President,,DEM,ANDREW YANG,1
Buchanan,12- WESEY,President,,DEM,ROQUE DE LA FUENTE,0
