county,precinct,office,district,candidate,party,votes
Lawrence,01 SW Aurora,Registered Voters,,,,2286
Lawrence,01 SW Aurora,Ballots Cast,,,,611
Lawrence,01 SW Aurora,Governor,,Raleigh Ritter,REP,21
Lawrence,01 SW Aurora,Governor,,Mike Parson,REP,364
Lawrence,01 SW Aurora,Governor,,James W. (Jim) Neely,REP,42
Lawrence,01 SW Aurora,Governor,,Saundra McDowell,REP,85
Lawrence,01 SW Aurora,Lieutenant Governor,,Arnie C. AC Dienoff,REP,33
Lawrence,01 SW Aurora,Lieutenant Governor,,Mike Kehoe,REP,252
Lawrence,01 SW Aurora,Lieutenant Governor,,Aaron T. Wisdom,REP,52
Lawrence,01 SW Aurora,Lieutenant Governor,,Mike Carter,REP,125
Lawrence,01 SW Aurora,Secretary of State,,John R. (Jay) Ashcroft,REP,473
Lawrence,01 SW Aurora,Attorney General,,Eric Schmitt,REP,463
Lawrence,01 SW Aurora,U S House,7,Eric Harleman,REP,62
Lawrence,01 SW Aurora,U S House,7,Kevin VanStory,REP,49
Lawrence,01 SW Aurora,U S House,7,Steve Chentnik,REP,24
Lawrence,01 SW Aurora,U S House,7,Billy Long,REP,349
Lawrence,01 SW Aurora,U S House,7,Camille Lombardi-Olive,REP,23
Lawrence,01 SW Aurora,State Senate,29,Mike Moon,REP,358
Lawrence,01 SW Aurora,State Senate,29,David Cole,REP,156
Lawrence,01 SW Aurora,State House,157,Nathan Bowen,REP,158
Lawrence,01 SW Aurora,State House,157,Wally Long,REP,196
Lawrence,01 SW Aurora,State House,157,Mitch Boggs,REP,152
Lawrence,01 SW Aurora,State House,158,Scott Cupps,REP,
Lawrence,01 SW Aurora,Governor,,Nicole Galloway,DEM,72
Lawrence,01 SW Aurora,Governor,,Jimmie Matthews,DEM,3
Lawrence,01 SW Aurora,Governor,,Antoin Johnson,DEM,4
Lawrence,01 SW Aurora,Governor,,Eric Morrison,DEM,3
Lawrence,01 SW Aurora,Governor,,Robin John Daniel Van Quaethem,DEM,0
Lawrence,01 SW Aurora,Lieutenant Governor,,Gregory A. Upchurch,DEM,18
Lawrence,01 SW Aurora,Lieutenant Governor,,Alissia Canady,DEM,64
Lawrence,01 SW Aurora,Secretary of State,,Yinka Faleti,DEM,76
Lawrence,01 SW Aurora,Attorney General,,Rich Finneran,DEM,53
Lawrence,01 SW Aurora,Attorney General,,Elad Gross,DEM,26
Lawrence,01 SW Aurora,U S House,7,Teresa Montseny,DEM,76
Lawrence,01 SW Aurora,State House,158,Brenda McKinney,DEM,
Lawrence,01 SW Aurora,Governor,,Rik Combs,LIB,2
Lawrence,01 SW Aurora,Lieutenant Governor,,Bill Slantz,LIB,2
Lawrence,01 SW Aurora,Secretary of State,,Carl Herman Freese,LIB,2
Lawrence,01 SW Aurora,Attorney General,,Kevin C. Babcock,LIB,2
Lawrence,01 SW Aurora,U S House,7,Kevin Craig,LIB,2
Lawrence,01 SW Aurora,Governor,,Jerome Howard Bauer,GRN,0
Lawrence,01 SW Aurora,Lieutenant Governor,,Kelley Dragoo,GRN,0
Lawrence,01 SW Aurora,Secretary of State,,Paul Lehmann,GRN,0
Lawrence,01 SW Aurora,Secretary of State,,Paul Venable,CST,1
Lawrence,02 SE Aurora,Registered Voters,,,,1869
Lawrence,02 SE Aurora,Ballots Cast,,,,498
Lawrence,02 SE Aurora,Governor,,Raleigh Ritter,REP,30
Lawrence,02 SE Aurora,Governor,,Mike Parson,REP,294
Lawrence,02 SE Aurora,Governor,,James W. (Jim) Neely,REP,40
Lawrence,02 SE Aurora,Governor,,Saundra McDowell,REP,71
Lawrence,02 SE Aurora,Lieutenant Governor,,Arnie C. AC Dienoff,REP,21
Lawrence,02 SE Aurora,Lieutenant Governor,,Mike Kehoe,REP,226
Lawrence,02 SE Aurora,Lieutenant Governor,,Aaron T. Wisdom,REP,38
Lawrence,02 SE Aurora,Lieutenant Governor,,Mike Carter,REP,110
Lawrence,02 SE Aurora,Secretary of State,,John R. (Jay) Ashcroft,REP,399
Lawrence,02 SE Aurora,Attorney General,,Eric Schmitt,REP,387
Lawrence,02 SE Aurora,U S House,7,Eric Harleman,REP,61
Lawrence,02 SE Aurora,U S House,7,Kevin VanStory,REP,29
Lawrence,02 SE Aurora,U S House,7,Steve Chentnik,REP,41
Lawrence,02 SE Aurora,U S House,7,Billy Long,REP,262
Lawrence,02 SE Aurora,U S House,7,Camille Lombardi-Olive,REP,33
