county,precinct,office,district,party,candidate,votes,election_day,absentee,mail
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,DEM,Total Votes Cast,1091,948,53,90
Kansas City,"W1-P1,3,4",U.S. House,5,DEM,EMANUEL CLEAVER II,908,776,50,82
Kansas City,"W1-P1,3,4",U.S. House,5,DEM,MAITE SALAZAR,258,235,7,16
Kansas City,"W1-P1,3,4",U.S. House,5,DEM,Total Votes Cast,1166,1011,57,98
Kansas City,"W1-P1,3,4",State Senate,7,DEM,MICHAEL R. BROWN,391,355,17,19
Kansas City,"W1-P1,3,4",State Senate,7,DEM,GREG RAZER,709,597,38,74
Kansas City,"W1-P1,3,4",State Senate,7,DEM,Total Votes Cast,1100,952,55,93
Kansas City,"W1-P1,3,4",State House,24,DEM,EMILY WEBER,745,641,44,60
Kansas City,"W1-P1,3,4",State House,24,DEM,CONNOR NOWALK,252,228,5,19
Kansas City,"W1-P1,3,4",State House,24,DEM,SAMMIE ARNOLD,111,99,3,9
Kansas City,"W1-P1,3,4",State House,24,DEM,Total Votes Cast,1108,968,52,88
Kansas City,"W1-P1,3,4",PROSECUTING ATTORNEY Jackson County,,DEM,JEAN PETERS BAKER,1066,923,53,90
Kansas City,"W1-P1,3,4",PROSECUTING ATTORNEY Jackson County,,DEM,Total Votes Cast,1066,923,53,90
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,DEM,DARRYL FORTÈ,909,778,46,85
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,DEM,MIKE SHARP,210,193,10,7
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,DEM,Total Votes Cast,1119,971,56,92
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,DEM,SALVADOR LOPEZ,716,637,31,48
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,DEM,JOSEPH A. FERNANDEZ,233,197,12,24
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,DEM,Write-In Totals,12,9,1,2
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,DEM,Total Votes Cast,961,843,44,74
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,DEM,DR. SARAH MARTIN,1020,891,45,84
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,DEM,Write-In Totals,5,5,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,DEM,Total Votes Cast,1025,896,45,84
Kansas City,"W1-P1,3,4",GOVERNOR,,LIB,RIK COMBS,6,6,0,0
Kansas City,"W1-P1,3,4",GOVERNOR,,LIB,Total Votes Cast,6,6,0,0
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,LIB,BILL SLANTZ,4,4,0,0
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,LIB,Total Votes Cast,4,4,0,0
Kansas City,"W1-P1,3,4",SECRETARY OF STATE,,LIB,CARL HERMAN FREESE,4,4,0,0
Kansas City,"W1-P1,3,4",SECRETARY OF STATE,,LIB,Total Votes Cast,4,4,0,0
Kansas City,"W1-P1,3,4",STATE TREASURER,,LIB,NICHOLAS (NICK) KASOFF,5,5,0,0
Kansas City,"W1-P1,3,4",STATE TREASURER,,LIB,Total Votes Cast,5,5,0,0
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,LIB,KEVIN C BABCOCK,4,4,0,0
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,LIB,Total Votes Cast,4,4,0,0
Kansas City,"W1-P1,3,4",U.S. House,5,LIB,ROBIN DOMINICK,5,5,0,0
Kansas City,"W1-P1,3,4",U.S. House,5,LIB,Total Votes Cast,5,5,0,0
Kansas City,"W1-P1,3,4",State Senate,7,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",State Senate,7,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",State House,24,LIB,ANDREW MILLER,4,4,0,0
Kansas City,"W1-P1,3,4",State House,24,LIB,Total Votes Cast,4,4,0,0
Kansas City,"W1-P1,3,4",PROSECUTING ATTORNEY Jackson County,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",PROSECUTING ATTORNEY Jackson County,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,LIB,Write-In Totals,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,LIB,Write-In Totals,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",GOVERNOR,,GRE,JEROME HOWARD BAUER,1,0,0,1
Kansas City,"W1-P1,3,4",GOVERNOR,,GRE,Total Votes Cast,1,0,0,1
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,GRE,KELLEY DRAGOO,1,0,0,1
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,GRE,Total Votes Cast,1,0,0,1
Kansas City,"W1-P1,3,4",SECRETARY OF STATE,,GRE,PAUL LEHMANN,1,0,0,1
Kansas City,"W1-P1,3,4",SECRETARY OF STATE,,GRE,Total Votes Cast,1,0,0,1
Kansas City,"W1-P1,3,4",STATE TREASURER,,GRE,JOSEPH CIVETTINI,1,0,0,1
Kansas City,"W1-P1,3,4",STATE TREASURER,,GRE,Total Votes Cast,1,0,0,1
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",U.S. House,5,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",U.S. House,5,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",State Senate,7,GRE,NATHAN KLINE,1,0,0,1
Kansas City,"W1-P1,3,4",State Senate,7,GRE,Total Votes Cast,1,0,0,1
Kansas City,"W1-P1,3,4",State House,24,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",State House,24,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",PROSECUTING ATTORNEY Jackson County,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",PROSECUTING ATTORNEY Jackson County,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,GRE,Write-In Totals,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,GRE,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,GRE,Write-In Totals,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,GRE,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",GOVERNOR,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",GOVERNOR,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",SECRETARY OF STATE,,CON,PAUL VENABLE,1,0,0,1
Kansas City,"W1-P1,3,4",SECRETARY OF STATE,,CON,Total Votes Cast,1,0,0,1
Kansas City,"W1-P1,3,4",STATE TREASURER,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",STATE TREASURER,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",U.S. House,5,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",U.S. House,5,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",State Senate,7,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",State Senate,7,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",State House,24,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",State House,24,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",PROSECUTING ATTORNEY Jackson County,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",PROSECUTING ATTORNEY Jackson County,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,CON,Write-In Totals,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,CON,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,CON,Write-In Totals,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,CON,Total Votes Cast,0,0,0,0
Kansas City,"W1-P5,2,6,7",Ballots Cast,,,,1791,1506,139,146
Kansas City,"W1-P5,2,6,7",Ballots Cast,,NON,,54,47,3,4
Kansas City,"W1-P5,2,6,7",Ballots Cast,,REP,,122,100,9,13
Kansas City,"W1-P5,2,6,7",Ballots Cast,,DEM,,1606,1350,127,129
Kansas City,"W1-P5,2,6,7",Ballots Cast,,LIB,,5,5,0,0
Kansas City,"W1-P5,2,6,7",Ballots Cast,,GRE,,2,2,0,0
Kansas City,"W1-P5,2,6,7",Ballots Cast,,CON,,2,2,0,0
Kansas City,"W1-P5,2,6,7",CONSTITUTIONAL AMENDMENT NO. 2,,,Yes,1676,1408,132,136
Kansas City,"W1-P5,2,6,7",CONSTITUTIONAL AMENDMENT NO. 2,,,No,96,81,6,9
Kansas City,"W1-P5,2,6,7",CONSTITUTIONAL AMENDMENT NO. 2,,,Total Votes Cast,1772,1489,138,145
Kansas City,"W1-P5,2,6,7",GOVERNOR,,REP,RALEIGH RITTER,1,1,0,0
Kansas City,"W1-P5,2,6,7",GOVERNOR,,REP,MIKE PARSON,90,74,9,7
Kansas City,"W1-P5,2,6,7",GOVERNOR,,REP,JAMES W. (JIM) NEELY,8,8,0,0
Kansas City,"W1-P5,2,6,7",GOVERNOR,,REP,SAUNDRA MCDOWELL,18,14,0,4
Kansas City,"W1-P5,2,6,7",GOVERNOR,,REP,Total Votes Cast,117,97,9,11
Kansas City,"W1-P5,2,6,7",LIEUTENANT GOVERNOR,,REP,ARNIE C. AC DIENOFF,7,7,0,0
Kansas City,"W1-P5,2,6,7",LIEUTENANT GOVERNOR,,REP,MIKE KEHOE,54,44,4,6
Kansas City,"W1-P5,2,6,7",LIEUTENANT GOVERNOR,,REP,AARON T WISDOM,8,5,2,1
Kansas City,"W1-P5,2,6,7",LIEUTENANT GOVERNOR,,REP,MIKE CARTER,33,25,3,5
Kansas City,"W1-P5,2,6,7",LIEUTENANT GOVERNOR,,REP,Total Votes Cast,102,81,9,12
Kansas City,"W1-P5,2,6,7",SECRETARY OF STATE,,REP,JOHN R. (JAY) ASHCROFT,110,91,9,10
Kansas City,"W1-P5,2,6,7",SECRETARY OF STATE,,REP,Total Votes Cast,110,91,9,10
Kansas City,"W1-P5,2,6,7",STATE TREASURER,,REP,SCOTT FITZPATRICK,103,86,7,10
Kansas City,"W1-P5,2,6,7",STATE TREASURER,,REP,Total Votes Cast,103,86,7,10
Kansas City,"W1-P5,2,6,7",ATTORNEY GENERAL,,REP,ERIC SCHMITT,101,82,9,10
Kansas City,"W1-P5,2,6,7",ATTORNEY GENERAL,,REP,Total Votes Cast,101,82,9,10
Kansas City,"W1-P5,2,6,7",U.S. House,5,REP,CLAY CHASTAIN,24,19,3,2
Kansas City,"W1-P5,2,6,7",U.S. House,5,REP,RYAN DERKS,35,29,1,5
Kansas City,"W1-P5,2,6,7",U.S. House,5,REP,WELDON (WILBUR) WOODWARD,6,5,1,0
Kansas City,"W1-P5,2,6,7",U.S. House,5,REP,RICHONDA OAKS,7,5,2,0
Kansas City,"W1-P5,2,6,7",U.S. House,5,REP,R H (TWIN BEARS) HESS,6,5,0,1
Kansas City,"W1-P5,2,6,7",U.S. House,5,REP,JERRY W BARHAM,13,10,2,1
Kansas City,"W1-P5,2,6,7",U.S. House,5,REP,Total Votes Cast,91,73,9,9
Kansas City,"W1-P5,2,6,7",State Senate,7,REP,No Candidate Filed,0,0,0,0
Kansas City,"W1-P5,2,6,7",State Senate,7,REP,Total Votes Cast,0,0,0,0
Kansas City,"W1-P5,2,6,7",State House,24,REP,No Candidate Filed,0,0,0,0
Kansas City,"W1-P5,2,6,7",State House,24,REP,Total Votes Cast,0,0,0,0
Kansas City,"W1-P5,2,6,7",PROSECUTING ATTORNEY Jackson County,,REP,TRACEY CHAPPELL,95,77,8,10
Kansas City,"W1-P5,2,6,7",PROSECUTING ATTORNEY Jackson County,,REP,Total Votes Cast,95,77,8,10
Kansas City,"W1-P5,2,6,7",SHERIFF Jackson County,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W1-P5,2,6,7",SHERIFF Jackson County,,REP,Total Votes Cast,0,0,0,0
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEMAN Ward 1,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEMAN Ward 1,,REP,Write-In Totals,9,9,0,0
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEMAN Ward 1,,REP,Total Votes Cast,9,9,0,0
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEWOMAN Ward 1,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEWOMAN Ward 1,,REP,Write-In Totals,8,8,0,0
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEWOMAN Ward 1,,REP,Total Votes Cast,8,8,0,0
Kansas City,"W1-P5,2,6,7",GOVERNOR,,DEM,NICOLE GALLOWAY,1391,1153,120,118
Kansas City,"W1-P5,2,6,7",GOVERNOR,,DEM,JIMMIE MATTHEWS,14,13,0,1
Kansas City,"W1-P5,2,6,7",GOVERNOR,,DEM,ANTOIN JOHNSON,53,46,3,4
Kansas City,"W1-P5,2,6,7",GOVERNOR,,DEM,ERIC MORRISON,109,103,1,5
Kansas City,"W1-P5,2,6,7",GOVERNOR,,DEM,ROBIN JOHN DANIEL VAN QUAETHEM,9,8,1,0
Kansas City,"W1-P5,2,6,7",GOVERNOR,,DEM,Total Votes Cast,1576,1323,125,128
Kansas City,"W1-P5,2,6,7",LIEUTENANT GOVERNOR,,DEM,GREGORY A UPCHURCH,149,121,11,17
Kansas City,"W1-P5,2,6,7",LIEUTENANT GOVERNOR,,DEM,ALISSIA CANADY,1365,1149,111,105
Kansas City,"W1-P5,2,6,7",LIEUTENANT GOVERNOR,,DEM,Total Votes Cast,1514,1270,122,122
Kansas City,"W1-P5,2,6,7",SECRETARY OF STATE,,DEM,YINKA FALETI,1438,1216,111,111
Kansas City,"W1-P5,2,6,7",SECRETARY OF STATE,,DEM,Total Votes Cast,1438,1216,111,111
Kansas City,"W1-P5,2,6,7",STATE TREASURER,,DEM,VICKI LORENZ ENGLUND,1430,1210,109,111
Kansas City,"W1-P5,2,6,7",STATE TREASURER,,DEM,Total Votes Cast,1430,1210,109,111
Kansas City,"W1-P5,2,6,7",ATTORNEY GENERAL,,DEM,RICH FINNERAN,532,437,39,56
Kansas City,"W1-P5,2,6,7",ATTORNEY GENERAL,,DEM,ELAD GROSS,912,784,66,62
Kansas City,"W1-P5,2,6,7",ATTORNEY GENERAL,,DEM,Total Votes Cast,1444,1221,105,118
Kansas City,"W1-P5,2,6,7",U.S. House,5,DEM,EMANUEL CLEAVER II,1246,1038,103,105
Kansas City,"W1-P5,2,6,7",U.S. House,5,DEM,MAITE SALAZAR,321,279,21,21
Kansas City,"W1-P5,2,6,7",U.S. House,5,DEM,Total Votes Cast,1567,1317,124,126
Kansas City,"W1-P5,2,6,7",State Senate,7,DEM,MICHAEL R. BROWN,403,350,27,26
Kansas City,"W1-P5,2,6,7",State Senate,7,DEM,GREG RAZER,1053,876,81,96
Kansas City,"W1-P5,2,6,7",State Senate,7,DEM,Total Votes Cast,1456,1226,108,122
Kansas City,"W1-P5,2,6,7",State House,24,DEM,EMILY WEBER,952,785,83,84
Kansas City,"W1-P5,2,6,7",State House,24,DEM,CONNOR NOWALK,381,325,26,30
Kansas City,"W1-P5,2,6,7",State House,24,DEM,SAMMIE ARNOLD,151,141,4,6
Kansas City,"W1-P5,2,6,7",State House,24,DEM,Total Votes Cast,1484,1251,113,120
Kansas City,"W1-P5,2,6,7",PROSECUTING ATTORNEY Jackson County,,DEM,JEAN PETERS BAKER,1389,1172,107,110
Kansas City,"W1-P5,2,6,7",PROSECUTING ATTORNEY Jackson County,,DEM,Total Votes Cast,1389,1172,107,110
Kansas City,"W1-P5,2,6,7",SHERIFF Jackson County,,DEM,DARRYL FORTÈ,1145,943,98,104
Kansas City,"W1-P5,2,6,7",SHERIFF Jackson County,,DEM,MIKE SHARP,350,312,20,18
Kansas City,"W1-P5,2,6,7",SHERIFF Jackson County,,DEM,Total Votes Cast,1495,1255,118,122
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEMAN Ward 1,,DEM,SALVADOR LOPEZ,988,849,62,77
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEMAN Ward 1,,DEM,JOSEPH A. FERNANDEZ,270,222,31,17
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEMAN Ward 1,,DEM,Write-In Totals,8,4,3,1
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEMAN Ward 1,,DEM,Total Votes Cast,1266,1075,96,95
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEWOMAN Ward 1,,DEM,DR. SARAH MARTIN,1343,1134,102,107
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEWOMAN Ward 1,,DEM,Write-In Totals,8,7,1,0
Kansas City,"W1-P5,2,6,7",COUNTY COMMITTEEWOMAN Ward 1,,DEM,Total Votes Cast,1351,1141,103,107
Kansas City,"W1-P5,2,6,7",GOVERNOR,,LIB,RIK COMBS,5,5,0,0
Kansas City,"W1-P5,2,6,7",GOVERNOR,,LIB,Total Votes Cast,5,5,0,0
Kansas City,"W1-P5,2,6,7",LIEUTENANT GOVERNOR,,LIB,BILL SLANTZ,5,5,0,0
Kansas City,"W1-P5,2,6,7",LIEUTENANT GOVERNOR,,LIB,Total Votes Cast,5,5,0,0
Kansas City,"W1-P5,2,6,7",SECRETARY OF STATE,,LIB,CARL HERMAN FREESE,5,5,0,0
Kansas City,"W1-P5,2,6,7",SECRETARY OF STATE,,LIB,Total Votes Cast,5,5,0,0
Kansas City,"W1-P5,2,6,7",STATE TREASURER,,LIB,NICHOLAS (NICK) KASOFF,5,5,0,0
Kansas City,"W1-P5,2,6,7",STATE TREASURER,,LIB,Total Votes Cast,5,5,0,0
Kansas City,"W1-P5,2,6,7",ATTORNEY GENERAL,,LIB,KEVIN C BABCOCK,5,5,0,0
Kansas City,"W1-P5,2,6,7",ATTORNEY GENERAL,,LIB,Total Votes Cast,5,5,0,0
Kansas City,"W1-P5,2,6,7",U.S. House,5,LIB,ROBIN DOMINICK,5,5,0,0
Kansas City,"W1-P5,2,6,7",U.S. House,5,LIB,Total Votes Cast,5,5,0,0
Kansas City,"W1-P5,2,6,7",State Senate,7,LIB,No Candidate Filed,0,0,0,0
Kansas City,"W1-P5,2,6,7",State Senate,7,LIB,Total Votes Cast,0,0,0,0
Kansas City,"W1-P5,2,6,7",State House,24,LIB,ANDREW MILLER,5,5,0,0
Kansas City,"W1-P5,2,6,7",State House,24,LIB,Total Votes Cast,5,5,0,0
