county,precinct,office,district,party,candidate,votes,election_day,absentee,mail
Kansas City,"W1-P1,3,4",Ballots Cast,,,,1347,1177,62,108
Kansas City,"W1-P1,3,4",Ballots Cast,,NON,,33,32,1,0
Kansas City,"W1-P1,3,4",Ballots Cast,,REP,,113,102,3,8
Kansas City,"W1-P1,3,4",Ballots Cast,,DEM,,1191,1035,58,98
Kansas City,"W1-P1,3,4",Ballots Cast,,LIB,,8,8,0,0
Kansas City,"W1-P1,3,4",Ballots Cast,,GRE,,1,0,0,1
Kansas City,"W1-P1,3,4",Ballots Cast,,CON,,1,0,0,1
Kansas City,"W1-P1,3,4",CONSTITUTIONAL AMENDMENT NO. 2,,,Yes,1234,1078,57,99
Kansas City,"W1-P1,3,4",CONSTITUTIONAL AMENDMENT NO. 2,,,No,104,91,4,9
Kansas City,"W1-P1,3,4",CONSTITUTIONAL AMENDMENT NO. 2,,,Total Votes Cast,1338,1169,61,108
Kansas City,"W1-P1,3,4",GOVERNOR,,REP,RALEIGH RITTER,2,2,0,0
Kansas City,"W1-P1,3,4",GOVERNOR,,REP,MIKE PARSON,83,74,3,6
Kansas City,"W1-P1,3,4",GOVERNOR,,REP,JAMES W. (JIM) NEELY,12,11,0,1
Kansas City,"W1-P1,3,4",GOVERNOR,,REP,SAUNDRA MCDOWELL,13,12,0,1
Kansas City,"W1-P1,3,4",GOVERNOR,,REP,Total Votes Cast,110,99,3,8
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,REP,ARNIE C. AC DIENOFF,5,5,0,0
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,REP,MIKE KEHOE,63,54,2,7
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,REP,AARON T WISDOM,11,11,0,0
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,REP,MIKE CARTER,25,24,1,0
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,REP,Total Votes Cast,104,94,3,7
Kansas City,"W1-P1,3,4",SECRETARY OF STATE,,REP,JOHN R. (JAY) ASHCROFT,106,96,3,7
Kansas City,"W1-P1,3,4",SECRETARY OF STATE,,REP,Total Votes Cast,106,96,3,7
Kansas City,"W1-P1,3,4",STATE TREASURER,,REP,SCOTT FITZPATRICK,102,94,3,5
Kansas City,"W1-P1,3,4",STATE TREASURER,,REP,Total Votes Cast,102,94,3,5
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,REP,ERIC SCHMITT,105,96,3,6
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,REP,Total Votes Cast,105,96,3,6
Kansas City,"W1-P1,3,4",U.S. House,5,REP,CLAY CHASTAIN,23,22,0,1
Kansas City,"W1-P1,3,4",U.S. House,5,REP,RYAN DERKS,45,38,3,4
Kansas City,"W1-P1,3,4",U.S. House,5,REP,WELDON (WILBUR) WOODWARD,3,3,0,0
Kansas City,"W1-P1,3,4",U.S. House,5,REP,RICHONDA OAKS,9,8,0,1
Kansas City,"W1-P1,3,4",U.S. House,5,REP,R H (TWIN BEARS) HESS,6,5,0,1
Kansas City,"W1-P1,3,4",U.S. House,5,REP,JERRY W BARHAM,14,13,0,1
Kansas City,"W1-P1,3,4",U.S. House,5,REP,Total Votes Cast,100,89,3,8
Kansas City,"W1-P1,3,4",State Senate,7,REP,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",State Senate,7,REP,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",State House,24,REP,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",State House,24,REP,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",PROSECUTING ATTORNEY Jackson County,,REP,TRACEY CHAPPELL,98,88,3,7
Kansas City,"W1-P1,3,4",PROSECUTING ATTORNEY Jackson County,,REP,Total Votes Cast,98,88,3,7
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",SHERIFF Jackson County,,REP,Total Votes Cast,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,REP,Write-In Totals,6,6,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEMAN Ward 1,,REP,Total Votes Cast,6,6,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,REP,No Candidate Filed,0,0,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,REP,Write-In Totals,6,6,0,0
Kansas City,"W1-P1,3,4",COUNTY COMMITTEEWOMAN Ward 1,,REP,Total Votes Cast,6,6,0,0
Kansas City,"W1-P1,3,4",GOVERNOR,,DEM,NICOLE GALLOWAY,1053,912,53,88
Kansas City,"W1-P1,3,4",GOVERNOR,,DEM,JIMMIE MATTHEWS,19,18,0,1
Kansas City,"W1-P1,3,4",GOVERNOR,,DEM,ANTOIN JOHNSON,45,43,0,2
Kansas City,"W1-P1,3,4",GOVERNOR,,DEM,ERIC MORRISON,45,38,3,4
Kansas City,"W1-P1,3,4",GOVERNOR,,DEM,ROBIN JOHN DANIEL VAN QUAETHEM,11,10,1,0
Kansas City,"W1-P1,3,4",GOVERNOR,,DEM,Total Votes Cast,1173,1021,57,95
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,DEM,GREGORY A UPCHURCH,104,90,5,9
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,DEM,ALISSIA CANADY,1020,890,51,79
Kansas City,"W1-P1,3,4",LIEUTENANT GOVERNOR,,DEM,Total Votes Cast,1124,980,56,88
Kansas City,"W1-P1,3,4",SECRETARY OF STATE,,DEM,YINKA FALETI,1075,940,50,85
Kansas City,"W1-P1,3,4",SECRETARY OF STATE,,DEM,Total Votes Cast,1075,940,50,85
Kansas City,"W1-P1,3,4",STATE TREASURER,,DEM,VICKI LORENZ ENGLUND,1072,938,50,84
Kansas City,"W1-P1,3,4",STATE TREASURER,,DEM,Total Votes Cast,1072,938,50,84
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,DEM,RICH FINNERAN,420,358,25,37
Kansas City,"W1-P1,3,4",ATTORNEY GENERAL,,DEM,ELAD GROSS,671,590,28,53
