office,district,party,candidate,votes
Governor,,REP,Raleigh Ritter,27264
Governor,,REP,Mike Parson,511566
Governor,,REP,James W. (Jim) Neely,59514
Governor,,REP,Saundra McDowell,84412
Governor,,DEM,Nicole Galloway,455203
Governor,,DEM,Jimmie Matthews,20586
Governor,,DEM,Antoin Johnson,20254
Governor,,DEM,Eric Morrison,32403
Governor,,DEM,Robin John Daniel Van Quaethem,9481
Governor,,LIB,Rik Combs,4171
Governor,,GRE,Jerome Howard Bauer,862
Lt. Governor,,REP,Arnie C. AC Dienoff,35929
Lt. Governor,,REP,Mike Kehoe,362442
Lt. Governor,,REP,Aaron T Wisdom,52810
Lt. Governor,,REP,Mike Carter,158914
Lt. Governor,,DEM,Gregory A Upchurch,133751
Lt. Governor,,DEM,Alissia Canady,371802
Lt. Governor,,LIB,Bill Slantz,4103
Lt. Governor,,GRE,Kelley Dragoo,860
Secretary of State,,REP,John R. (Jay) Ashcroft,620822
Secretary of State,,DEM,Yinka Faleti,470955
Secretary of State,,LIB,Carl Herman Freese,4074
Secretary of State,,GRE,Paul Lehmann,860
Secretary of State,,CON,Paul Venable,573
Treasurer,,REP,Scott Fitzpatrick,597408
Treasurer,,DEM,Vicki Lorenz Englund,473904
Treasurer,,LIB,Nicholas (Nick) Kasoff,4096
Treasurer,,GRE,Joseph Civettini,852
Attorney General,,REP,Eric Schmitt,602577
Attorney General,,DEM,Rich Finneran,272516
Attorney General,,DEM,Elad Gross,219462
Attorney General,,LIB,Kevin C Babcock,4089
U.S. House,1,REP,Winnie Heartstrong,4367
U.S. House,1,REP,Anthony Rogers,6979
U.S. House,1,DEM,Cori Bush,73274
U.S. House,1,DEM,Lacy Clay,68887
U.S. House,1,DEM,Katherine (Kat) Bruckner,8850
U.S. House,1,LIB,Alex Furman,337
U.S. House,2,REP,Ann Wagner,63686
U.S. House,2,DEM,Jill Schupp,103164
U.S. House,2,LIB,Martin Schulte,737
U.S. House,3,REP,Brandon Wilkinson,15901
U.S. House,3,REP,Adela Wisdom,3485
U.S. House,3,REP,Blaine Luetkemeyer,80627
U.S. House,3,REP,Jeffrey Nowak,3517
U.S. House,3,REP,Lynette Trares,4197
U.S. House,3,DEM,Megan Rezabek,27826
U.S. House,3,DEM,Dennis Oglesby,13801
U.S. House,3,LIB,Leonard J Steinman II,627
U.S. House,4,REP,Neal Gist,24646
U.S. House,4,REP,Vicky Hartzler,80652
U.S. House,4,DEM,Lindsey Simmons,38339
U.S. House,4,LIB,Robert E Smith,316
U.S. House,4,LIB,Steven K. Koonse,357
U.S. House,5,REP,Clay Chastain,7519
U.S. House,5,REP,Ryan Derks,13832
U.S. House,5,REP,Weldon (Wilbur) Woodward,2381
U.S. House,5,REP,Richonda Oaks,1872
U.S. House,5,REP,R H (Twin Bears) Hess,2207
U.S. House,5,REP,Jerry W Barham,12880
U.S. House,5,DEM,Emanuel Cleaver II,75040
U.S. House,5,DEM,Maite Salazar,12923
U.S. House,5,LIB,Robin Dominick,542
U.S. House,6,REP,Sam Graves,81584
U.S. House,6,REP,Chris Ryan,20826
U.S. House,6,DEM,Ramona Farris,11882
U.S. House,6,DEM,Charles West,6951
U.S. House,6,DEM,Gena L. Ross,14503
U.S. House,6,DEM,Henry Martin,9393
U.S. House,6,DEM,Donald Robert Sartain,1447
U.S. House,6,LIB,Jim Higgins,431
U.S. House,7,REP,Eric Harleman,11696
U.S. House,7,REP,Kevin VanStory,10486
U.S. House,7,REP,Steve Chentnik,7407
U.S. House,7,REP,Billy Long,69407
U.S. House,7,REP,Camille Lombardi-Olive,5969
U.S. House,7,DEM,Teresa Montseny,30568
U.S. House,7,LIB,Kevin Craig,508
U.S. House,8,REP,Jason Smith,114074
U.S. House,8,DEM,Kathy Ellis,20354
U.S. House,8,LIB,Tom Schmitz,265
State Senator,1,REP,David Lenihan,7299
State Senator,1,REP,Mitchell Kohlberg,3744
State Senator,1,DEM,Doug Beck,26601
State Senator,3,REP,Kent Scism,5437
State Senator,3,REP,Joshua Barrett,9211
State Senator,3,REP,Elaine Freeman Gannon,10646
State Senator,5,REP,Michael Hebron,989
State Senator,5,DEM,William C. (Bill) Haas,2068
State Senator,5,DEM,Megan Ellyia Green,11241
State Senator,5,DEM,Jeremiah Church,893
State Senator,5,DEM,Michelle Sherod,7817
State Senator,5,DEM,Steve Roberts,12293
State Senator,5,DEM,McFarlane E. Duncan,387
State Senator,7,DEM,Michael R. Brown,9456
State Senator,7,DEM,Greg Razer,21042
State Senator,7,GRE,Nathan Kline,46
State Senator,9,REP,David Martin,2637
State Senator,9,DEM,Barbara Anne Washington,17937
State Senator,9,DEM,Ryan Myers,2383
State Senator,11,DEM,John Joseph Rizzo,12012
State Senator,13,DEM,Alan (Al) Green,6156
State Senator,13,DEM,Tommie Pierson Jr,13219
State Senator,13,DEM,Angela Walton Mosley,13580
State Senator,13,LIB,Jeff Coleman,83
State Senator,15,REP,Andrew Koenig,15519
State Senator,15,DEM,Deb Lavender,27050
State Senator,17,REP,Mickey Younghanz,12634
State Senator,17,DEM,Lauren Arthur,16354
State Senator,19,REP,Caleb Rowden,15010
State Senator,19,DEM,Judy Baker,18623
State Senator,21,REP,Denny Hoskins,21430
State Senator,21,LIB,Mark Bliss,151
State Senator,23,REP,Dan O'Connell,2737
State Senator,23,REP,Bill Eigel,15018
State Senator,23,REP,Eric Wulff,3310
State Senator,23,DEM,Richard Orr,14370
State Senator,25,REP,Jeff Shawan,5765
State Senator,25,REP,Jason Bean,12791
State Senator,25,REP,Eddy Justice,4920
State Senator,25,REP,Stephen Carroll Cookson,4223
State Senator,27,REP,Holly Rehder,16839
State Senator,27,REP,Kathy Swan,16698
State Senator,27,DEM,Donnie Owens,4176
State Senator,29,REP,Mike Moon,17781
State Senator,29,REP,David Cole,16093
State Senator,31,REP,Jack Bondon,12467
State Senator,31,REP,Rick Brattin,14012
State Senator,31,REP,Bill Yarberry,1774
State Senator,31,DEM,Raymond Kinney,7971
State Senator,33,REP,Robert Ross,12562
State Senator,33,REP,Karla Eslinger,12704
State Senator,33,REP,Van Kelly,8958
State Senator,33,DEM,Tammy Harty,3274
State Representative,1,REP,Allen Andrews,6023
State Representative,2,REP,J. Eggleston,6071
State Representative,2,DEM,Mindi Smith,802
State Representative,3,REP,Danny Busick,4589
State Representative,4,REP,Greg Sharpe,4530
State Representative,5,REP,Louis Riggs,4825
State Representative,6,REP,Ed Lewis,5041
State Representative,6,DEM,Terrence Fiala,1328
State Representative,7,REP,Rusty Black,6537
State Representative,8,REP,Gary Stroud,369
State Representative,8,REP,Darlene Breckenridge,1096
State Representative,8,REP,Randy Railsback,2959
State Representative,8,REP,David Woody,2214
State Representative,9,REP,Dean VanSchoiack,4046
State Representative,9,REP,Tina Goodrick,3075
State Representative,9,DEM,Karen Planalp,1690
State Representative,10,REP,Bill Falkner,2384
State Representative,10,DEM,Colby Murphy,1514
State Representative,11,REP,Brenda Shields,3918
State Representative,11,DEM,Brady Lee ODell,1747
State Representative,12,REP,Josh Hurlbert,3710
State Representative,12,REP,Deannette Lemons,796
State Representative,12,DEM,Wade Hugh Kiefer,2594
State Representative,13,REP,Vic Allred,3927
State Representative,13,DEM,Vic Abundis,3578
State Representative,14,REP,Eric Holmes,3113
State Representative,14,DEM,Ashley Aune,4224
State Representative,15,REP,Adam Richardson,1281
State Representative,15,REP,Steve West,1342
State Representative,15,DEM,Maggie Nurrenbern,3489
State Representative,16,REP,Chris Brown,3664
State Representative,16,DEM,James Shackelford,3693
State Representative,17,REP,Brandt Vircks,2718
State Representative,17,DEM,Mark Ellebracht,3057
State Representative,18,DEM,Wes Rogers,3630
State Representative,19,DEM,Ingrid Burnett,892
State Representative,19,DEM,Nicholas (Wick) Thomas,544
State Representative,19,DEM,Phyllis Hardwick,779
State Representative,20,REP,Bill E. Kidd,2697
State Representative,20,DEM,Mike Englert,2256
State Representative,21,REP,Vicki Riley,2155
State Representative,21,DEM,Robert Sauls,2519
State Representative,22,DEM,Yolanda Young,2836
State Representative,22,DEM,Kevon Graves,647
State Representative,22,DEM,Bryce Bradford,258
State Representative,22,DEM,Sheoni Givens,136
State Representative,22,DEM,Jeff Francis,317
State Representative,23,DEM,Michael L. Johnson,1810
State Representative,23,DEM,Derron Black,1473
State Representative,24,DEM,Emily Weber,5850
State Representative,24,DEM,Connor Nowalk,1762
State Representative,24,DEM,Sammie Arnold,769
State Representative,24,LIB,Andrew Miller,33
State Representative,25,DEM,Drew Rogers,2575
State Representative,25,DEM,Patty Lewis,7100
State Representative,25,DEM,Josh Swafford,157
State Representative,26,DEM,Ashley Bland Manlove,5158
State Representative,26,DEM,Jamie T. Braden,1146
State Representative,27,DEM,Richard Brown,3984
State Representative,28,DEM,Jerome Barnes,3969
State Representative,29,DEM,Rory Rowland,3790
State Representative,30,REP,Jon Patterson,3269
State Representative,30,DEM,Art Schaaf,3898
State Representative,31,REP,Dan Stacy,2783
State Representative,31,REP,Ronie Swinton,338
State Representative,31,DEM,Rhonda R Dolan,2484
State Representative,31,DEM,Jamar Buford,634
State Representative,32,REP,Jeff Coleman,3196
State Representative,33,REP,Chris Sander,3602
State Representative,33,REP,Alex Holt,1139
State Representative,34,REP,Rick Roeber,2697
State Representative,34,DEM,Chris Hager,3190
State Representative,35,REP,Sean Smith,2607
State Representative,35,DEM,Keri Ingle,4275
