county,precinct,office,district,candidate,party,votes
Bates,Adrian North (1),Registered Voters,,,,1263
Bates,Adrian North (1),Ballots Cast,,,,921
Bates,Adrian North (1),President/Vice President,,Donald J. Trump/Micchael R.,REP,761
Bates,Adrian North (1),President/Vice President,,Joseph R. Biden/Kamala D.,DEM,140
Bates,Adrian North (1),President/Vice President,,Jo Jorgensen/Jeremy,LIB,11
Bates,Adrian North (1),President/Vice President,,Howie Hawkins/Angela,GRN,0
Bates,Adrian North (1),President/Vice President,,Don Blankenship/William,UST,2
Bates,Adrian North (1),President/Vice President,,Write-In,,4
Bates,Adrian North (1),Governor,,Mike Parson,REP,725
Bates,Adrian North (1),Governor,,Nicole Galloway,DEM,163
Bates,Adrian North (1),Governor,,Rik Combs,LIB,15
Bates,Adrian North (1),Governor,,Jerome Howard Bauer,GRN,5
Bates,Adrian North (1),Governor,,Write-In,,1
Bates,Adrian North (1),Lieutenant Governor,,Mike Kehoe,REP,729
Bates,Adrian North (1),Lieutenant Governor,,Alissia Canady,DEM,145
Bates,Adrian North (1),Lieutenant Governor,,Bill Slantz,LIB,14
Bates,Adrian North (1),Lieutenant Governor,,Kelley Dragoo,GRN,2
Bates,Adrian North (1),Lieutenant Governor,,Write-In,,0
Bates,Adrian North (1),Secretary of State,,John R. (Jay) Ashcroft,REP,744
Bates,Adrian North (1),Secretary of State,,Yinka Faleti,DEM,121
Bates,Adrian North (1),Secretary of State,,Carl Herman Freese,LIB,20
Bates,Adrian North (1),Secretary of State,,Paul Lehmann,GRN,6
Bates,Adrian North (1),Secretary of State,,Paul Venable,CST,2
Bates,Adrian North (1),Secretary of State,,Write-In,,0
Bates,Adrian North (1),State Treasurer,,Scott Fitzpatrick,REP,727
Bates,Adrian North (1),State Treasurer,,Vicki Lorenz Englund,DEM,143
Bates,Adrian North (1),State Treasurer,,Nicholas (Nick) Kasoff,LIB,15
Bates,Adrian North (1),State Treasurer,,Joseph Civettini,GRN,1
Bates,Adrian North (1),State Treasurer,,Write-In,,0
Bates,Adrian North (1),Attorney General,,Eric Schmitt,REP,721
Bates,Adrian North (1),Attorney General,,Rich Finneran,DEM,138
Bates,Adrian North (1),Attorney General,,Kevin C. Babcock,LIB,26
Bates,Adrian North (1),Attorney General,,Write-In,,0
Bates,Adrian North (1),U S House,4,Vicky Hartzler,REP,738
Bates,Adrian North (1),U S House,4,Lindsey Simmons,DEM,144
Bates,Adrian North (1),U S House,4,Steven K. Koonse,LIB,21
Bates,Adrian North (1),U S House,4,Write-In,,0
Bates,Adrian North (1),State Senate,31,Rick Brattin,REP,741
Bates,Adrian North (1),State Senate,31,Raymond Kinney,DEM,151
Bates,Adrian North (1),State Senate,31,Write-In,,0
Bates,Adrian North (1),State House,56,Michael Davis,REP,
Bates,Adrian North (1),State House,56,Neal Barnes,DEM,
Bates,Adrian North (1),State House,56,Write-In,,
Bates,Adrian North (1),State House,57,Rodger L. Reedy,REP,249
Bates,Adrian North (1),State House,57,Write-In,,3
Bates,Adrian North (1),State House,126,Patricia Pike,REP,451
Bates,Adrian North (1),State House,126,Jim Hogan,DEM,175
Bates,Adrian North (1),State House,126,Write-In,,1
Bates,Adrian South (2),Registered Voters,,,,1531
Bates,Adrian South (2),Ballots Cast,,,,1010
Bates,Adrian South (2),President/Vice President,,Donald J. Trump/Micchael R.,REP,805
Bates,Adrian South (2),President/Vice President,,Joseph R. Biden/Kamala D.,DEM,179
Bates,Adrian South (2),President/Vice President,,Jo Jorgensen/Jeremy,LIB,15
Bates,Adrian South (2),President/Vice President,,Howie Hawkins/Angela,GRN,1
Bates,Adrian South (2),President/Vice President,,Don Blankenship/William,UST,0
Bates,Adrian South (2),President/Vice President,,Write-In,,6
Bates,Adrian South (2),Governor,,Mike Parson,REP,782
Bates,Adrian South (2),Governor,,Nicole Galloway,DEM,193
Bates,Adrian South (2),Governor,,Rik Combs,LIB,16
Bates,Adrian South (2),Governor,,Jerome Howard Bauer,GRN,4
Bates,Adrian South (2),Governor,,Write-In,,1
Bates,Adrian South (2),Lieutenant Governor,,Mike Kehoe,REP,761
Bates,Adrian South (2),Lieutenant Governor,,Alissia Canady,DEM,180
Bates,Adrian South (2),Lieutenant Governor,,Bill Slantz,LIB,21
Bates,Adrian South (2),Lieutenant Governor,,Kelley Dragoo,GRN,8
Bates,Adrian South (2),Lieutenant Governor,,Write-In,,3
Bates,Adrian South (2),Secretary of State,,John R. (Jay) Ashcroft,REP,780
