county,precinct,office,district,candidate,party,votes
Butler,Broseley,Registered Voters,,,,687
Butler,Broseley,Ballots Cast,,,REP,106
Butler,Broseley,President,,Donald J. Trump,REP,105
Butler,Broseley,President,,Bob Ely,REP,0
Butler,Broseley,President,,Bill Weld,REP,0
Butler,Broseley,President,,Joe Walsh,REP,0
Butler,Broseley,President,,Matthew John Matern,REP,0
Butler,Broseley,President,,Uncommitted,REP,0
Butler,Broseley,President,,Unresolved Write-In,REP,0
Butler,Broseley,Ballots Cast,,,DEM,26
Butler,Broseley,President,,Amy Klobuchar,DEM,0
Butler,Broseley,President,,Tom Steyer,DEM,1
Butler,Broseley,President,,Tulsi Gabbard,DEM,0
Butler,Broseley,President,,Leonard J. Steinman II,DEM,0
Butler,Broseley,President,,Cory Booker,DEM,0
Butler,Broseley,President,,Joseph R. Biden,DEM,11
Butler,Broseley,President,,Elizabeth Warren,DEM,1
Butler,Broseley,President,,Pete Buttigieg,DEM,0
Butler,Broseley,President,,Bernie Sanders,DEM,13
Butler,Broseley,President,,Velma Steinman,DEM,0
Butler,Broseley,President,,Henry Hewes,DEM,0
Butler,Broseley,President,,Andrew Yang,DEM,0
Butler,Broseley,President,,Roque De La Fuente,DEM,0
Butler,Broseley,President,,John K. Delaney,DEM,0
Butler,Broseley,President,,Julian Castro,DEM,0
Butler,Broseley,President,,Deval Patrick,DEM,0
Butler,Broseley,President,,Marianne Williamson,DEM,0
Butler,Broseley,President,,Michael Bennet,DEM,0
Butler,Broseley,President,,Michael R. Bloomberg,DEM,0
Butler,Broseley,President,,Steve Burke,DEM,0
Butler,Broseley,President,,Robby Wells,DEM,0
Butler,Broseley,President,,William C. (Bill) Haas,DEM,0
Butler,Broseley,President,,Uncommitted,DEM,0
Butler,Broseley,President,,Unresolved Write-In,DEM,0
Butler,Broseley,Ballots Cast,,,LIB,0
Butler,Broseley,President,,Jacob Hornberger,LIB,0
Butler,Broseley,President,,Uncommitted,LIB,0
Butler,Broseley,President,,Unresolved Write-In,LIB,0
Butler,Broseley,Ballots Cast,,,GRN,0
Butler,Broseley,President,,Howie Hawkins,GRN,0
Butler,Broseley,President,,Dario Hunter,GRN,0
Butler,Broseley,President,,David Rolde,GRN,0
Butler,Broseley,President,,Uncommitted,GRN,0
Butler,Broseley,President,,Unresolved Write-In,GRN,0
Butler,Broseley,Ballots Cast,,,CON,0
Butler,Broseley,President,,Don J. Grundmann,CST,0
Butler,Broseley,President,,Don Blankenship,CST,0
Butler,Broseley,President,,Uncommitted,CST,0
Butler,Broseley,President,,Unresolved Write-In,CST,0
Butler,Cane Creek/Moark,Registered Voters,,,,2241
Butler,Cane Creek/Moark,Ballots Cast,,,REP,261
Butler,Cane Creek/Moark,President,,Donald J. Trump,REP,260
Butler,Cane Creek/Moark,President,,Bob Ely,REP,0
Butler,Cane Creek/Moark,President,,Bill Weld,REP,0
Butler,Cane Creek/Moark,President,,Joe Walsh,REP,1
Butler,Cane Creek/Moark,President,,Matthew John Matern,REP,0
