county,precinct,office,district,party,candidate,votes
ADAIR,U.S. Senate,,DEM,"Wagganer, Ronald William",580
ADAIR,U.S. Senate,,DEM,"Carnahan, Mel",2034
ADAIR,U.S. Senate,,REP,"Ashcroft, John",1240
ADAIR,U.S. Senate,,REP,"Perkel, Marc",97
ADAIR,U.S. Senate,,LIB,"Stauffer, Grant Samuel",8
ADAIR,Governor,,DEM,"Holden, Bob",2215
ADAIR,Governor,,REP,"Macy, Elgar",65
ADAIR,Governor,,REP,"Talent, Jim",1108
ADAIR,Governor,,REP,"Sievers, Jennie Lee (Jen)",114
ADAIR,Governor,,LIB,"Swenson, John M.",5
ADAIR,Governor,,LIB,"Illyes, Dick",3
ADAIR,Governor,,CST,"Smith, Richard L.",0
ADAIR,Lieutenant Governor,,DEM,"Maxwell, Joe",2184
ADAIR,Lieutenant Governor,,DEM,"Backer, Gracia Yancey",228
ADAIR,Lieutenant Governor,,DEM,"Powell, Catherine",248
ADAIR,Lieutenant Governor,,REP,"Ortwerth, Joe",396
ADAIR,Lieutenant Governor,,REP,"Bailey, Wendell",813
ADAIR,Lieutenant Governor,,LIB,"Horras, Phillip W.",8
ADAIR,Lieutenant Governor,,CST,"Wells, Bob",0
ADAIR,Secretary of State,,DEM,"Gaw, Steve",1374
ADAIR,Secretary of State,,DEM,"Askew, James J.",1068
ADAIR,Secretary of State,,REP,"Blunt, Matt",876
ADAIR,Secretary of State,,REP,"Peterman, Raymond W.",127
ADAIR,Secretary of State,,REP,"Crump, Robert J.",188
ADAIR,Secretary of State,,LIB,"Southard, Jane Spence",8
ADAIR,Secretary of State,,CST,"Ivanovich, Donna L.",0
ADAIR,State Treasurer,,DEM,"May, Brian",461
ADAIR,State Treasurer,,DEM,"Farmer, Nancy",1199
ADAIR,State Treasurer,,DEM,"Lakin, Scott",568
ADAIR,State Treasurer,,REP,"Boeke, Chester (Chet)",277
ADAIR,State Treasurer,,REP,"Graves, Todd",804
ADAIR,State Treasurer,,LIB,"Trembley, Arnold J.",8
ADAIR,State Treasurer,,CST,"Culligan, Kerry",0
ADAIR,Attorney General,,DEM,"Nixon, Jeremiah W. (Jay)",2257
ADAIR,Attorney General,,REP,"Jones, Sam",1072
ADAIR,Attorney General,,LIB,"Moore, Mitch",8
ADAIR,Attorney General,,DEM,"Glawson, Michael Charles",340
ADAIR,Attorney General,,DEM,"Terry, Joe Cefius",223
