county,precinct,office,district,party,candidate,votes
ADAIR,Attorney General,,DEM,"Carroll, Steven R.",1686
ADAIR,Attorney General,,REP,"Hulshof, Kenny",1280
ADAIR,Attorney General,,LIB,"Hoffman, Robert",8
ADAIR,Attorney General,,DEM,"Clithero, David W.",2265
ADAIR,Attorney General,,REP,"Behnen, Robert J. (Bob)",711
ADAIR,Attorney General,,REP,"Veatch, Scott",608
ADAIR,Attorney General,,DEM,"Steele, Russell E.",2386
ANDREW,U.S. Senate,,DEM,"Wagganer, Ronald William",206
ANDREW,U.S. Senate,,DEM,"Carnahan, Mel",740
ANDREW,U.S. Senate,,REP,"Ashcroft, John",1439
ANDREW,U.S. Senate,,REP,"Perkel, Marc",130
ANDREW,U.S. Senate,,LIB,"Stauffer, Grant Samuel",6
ANDREW,Governor,,DEM,"Holden, Bob",819
ANDREW,Governor,,REP,"Macy, Elgar",61
ANDREW,Governor,,REP,"Talent, Jim",1232
ANDREW,Governor,,REP,"Sievers, Jennie Lee (Jen)",188
ANDREW,Governor,,LIB,"Swenson, John M.",3
ANDREW,Governor,,LIB,"Illyes, Dick",3
ANDREW,Governor,,CST,"Smith, Richard L.",0
ANDREW,Lieutenant Governor,,DEM,"Maxwell, Joe",460
ANDREW,Lieutenant Governor,,DEM,"Backer, Gracia Yancey",134
ANDREW,Lieutenant Governor,,DEM,"Powell, Catherine",276
ANDREW,Lieutenant Governor,,REP,"Ortwerth, Joe",279
ANDREW,Lieutenant Governor,,REP,"Bailey, Wendell",1137
ANDREW,Lieutenant Governor,,LIB,"Horras, Phillip W.",7
ANDREW,Lieutenant Governor,,CST,"Wells, Bob",0
ANDREW,Secretary of State,,DEM,"Gaw, Steve",382
ANDREW,Secretary of State,,DEM,"Askew, James J.",460
ANDREW,Secretary of State,,REP,"Blunt, Matt",1068
ANDREW,Secretary of State,,REP,"Peterman, Raymond W.",161
ANDREW,Secretary of State,,REP,"Crump, Robert J.",165
ANDREW,Secretary of State,,LIB,"Southard, Jane Spence",6
ANDREW,Secretary of State,,CST,"Ivanovich, Donna L.",0
ANDREW,State Treasurer,,DEM,"May, Brian",148
ANDREW,State Treasurer,,DEM,"Farmer, Nancy",485
ANDREW,State Treasurer,,DEM,"Lakin, Scott",208
ANDREW,State Treasurer,,REP,"Boeke, Chester (Chet)",129
ANDREW,State Treasurer,,REP,"Graves, Todd",1285
ANDREW,State Treasurer,,LIB,"Trembley, Arnold J.",6
ANDREW,State Treasurer,,CST,"Culligan, Kerry",0
ANDREW,Attorney General,,DEM,"Nixon, Jeremiah W. (Jay)",791
ANDREW,Attorney General,,REP,"Jones, Sam",1313
ANDREW,Attorney General,,LIB,"Moore, Mitch",6
ANDREW,Attorney General,,DEM,"Danner, Steve",507
ANDREW,Attorney General,,DEM,"Mann, Tom",297
ANDREW,Attorney General,,DEM,"Reeves, Sandra Lee",92
ANDREW,Attorney General,,DEM,"Cox, Ida",56
ANDREW,Attorney General,,REP,"DeSelms, Jack C.",17
ANDREW,Attorney General,,REP,"Loar, Teresa Anne",137
ANDREW,Attorney General,,REP,"Dady, John",21
ANDREW,Attorney General,,REP,"Bailey, Jeff",84
ANDREW,Attorney General,,REP,"Graves, Jr., Samuel B. (Sam)",1249
ANDREW,Attorney General,,LIB,"Dykes, Jimmy",7
ANDREW,Attorney General,,REP,"Hegeman, Dan",1483
ANDREW,Attorney General,,REP,"Jackson, Randall R.",1373
ANDREW,Attorney General,,DEM,"Robb, Patrick K",812
ANDREW,Attorney General,,DEM,"Kellogg, Daniel F.",607
ANDREW,Attorney General,,DEM,"Cone, Pamela L.",326
ATCHISON,U.S. Senate,,DEM,"Wagganer, Ronald William",36
ATCHISON,U.S. Senate,,DEM,"Carnahan, Mel",297
ATCHISON,U.S. Senate,,REP,"Ashcroft, John",717
ATCHISON,U.S. Senate,,REP,"Perkel, Marc",34
ATCHISON,U.S. Senate,,LIB,"Stauffer, Grant Samuel",0
ATCHISON,Governor,,DEM,"Holden, Bob",282
ATCHISON,Governor,,REP,"Macy, Elgar",45
ATCHISON,Governor,,REP,"Talent, Jim",516
ATCHISON,Governor,,REP,"Sievers, Jennie Lee (Jen)",104
ATCHISON,Governor,,LIB,"Swenson, John M.",0
ATCHISON,Governor,,LIB,"Illyes, Dick",0
ATCHISON,Governor,,CST,"Smith, Richard L.",0
ATCHISON,Lieutenant Governor,,DEM,"Maxwell, Joe",139
ATCHISON,Lieutenant Governor,,DEM,"Backer, Gracia Yancey",44
ATCHISON,Lieutenant Governor,,DEM,"Powell, Catherine",108
ATCHISON,Lieutenant Governor,,REP,"Ortwerth, Joe",120
ATCHISON,Lieutenant Governor,,REP,"Bailey, Wendell",507
ATCHISON,Lieutenant Governor,,LIB,"Horras, Phillip W.",0
ATCHISON,Lieutenant Governor,,CST,"Wells, Bob",0
ATCHISON,Secretary of State,,DEM,"Gaw, Steve",89
ATCHISON,Secretary of State,,DEM,"Askew, James J.",210
ATCHISON,Secretary of State,,REP,"Blunt, Matt",459
ATCHISON,Secretary of State,,REP,"Peterman, Raymond W.",97
ATCHISON,Secretary of State,,REP,"Crump, Robert J.",57
ATCHISON,Secretary of State,,LIB,"Southard, Jane Spence",0
ATCHISON,Secretary of State,,CST,"Ivanovich, Donna L.",0
ATCHISON,State Treasurer,,DEM,"May, Brian",49
ATCHISON,State Treasurer,,DEM,"Farmer, Nancy",147
ATCHISON,State Treasurer,,DEM,"Lakin, Scott",89
ATCHISON,State Treasurer,,REP,"Boeke, Chester (Chet)",46
ATCHISON,State Treasurer,,REP,"Graves, Todd",705
ATCHISON,State Treasurer,,LIB,"Trembley, Arnold J.",0
ATCHISON,State Treasurer,,CST,"Culligan, Kerry",0
ATCHISON,Attorney General,,DEM,"Nixon, Jeremiah W. (Jay)",290
ATCHISON,Attorney General,,REP,"Jones, Sam",609
ATCHISON,Attorney General,,LIB,"Moore, Mitch",0
ATCHISON,Attorney General,,DEM,"Danner, Steve",222
ATCHISON,Attorney General,,DEM,"Mann, Tom",49
ATCHISON,Attorney General,,DEM,"Reeves, Sandra Lee",26
ATCHISON,Attorney General,,DEM,"Cox, Ida",32
ATCHISON,Attorney General,,REP,"DeSelms, Jack C.",2
ATCHISON,Attorney General,,REP,"Loar, Teresa Anne",18
ATCHISON,Attorney General,,REP,"Dady, John",1
ATCHISON,Attorney General,,REP,"Bailey, Jeff",15
ATCHISON,Attorney General,,REP,"Graves, Jr., Samuel B. (Sam)",741
ATCHISON,Attorney General,,LIB,"Dykes, Jimmy",0
ATCHISON,Attorney General,,DEM,"Ritterbusch, Robert L.",268
ATCHISON,Attorney General,,REP,"Barnett, Rex",711
ATCHISON,Attorney General,,DEM,"Dietrich, Glen",261
ATCHISON,Attorney General,,REP,"Prokes, Roger",670
AUDRAIN,U.S. Senate,,DEM,"Wagganer, Ronald William",746
AUDRAIN,U.S. Senate,,DEM,"Carnahan, Mel",2472
AUDRAIN,U.S. Senate,,REP,"Ashcroft, John",689
AUDRAIN,U.S. Senate,,REP,"Perkel, Marc",27
AUDRAIN,U.S. Senate,,LIB,"Stauffer, Grant Samuel",5
AUDRAIN,Governor,,DEM,"Holden, Bob",2790
AUDRAIN,Governor,,REP,"Macy, Elgar",39
AUDRAIN,Governor,,REP,"Talent, Jim",618
AUDRAIN,Governor,,REP,"Sievers, Jennie Lee (Jen)",44
AUDRAIN,Governor,,LIB,"Swenson, John M.",1
AUDRAIN,Governor,,LIB,"Illyes, Dick",3
AUDRAIN,Governor,,CST,"Smith, Richard L.",0
AUDRAIN,Lieutenant Governor,,DEM,"Maxwell, Joe",2710
AUDRAIN,Lieutenant Governor,,DEM,"Backer, Gracia Yancey",566
AUDRAIN,Lieutenant Governor,,DEM,"Powell, Catherine",123
AUDRAIN,Lieutenant Governor,,REP,"Ortwerth, Joe",282
AUDRAIN,Lieutenant Governor,,REP,"Bailey, Wendell",384
AUDRAIN,Lieutenant Governor,,LIB,"Horras, Phillip W.",5
AUDRAIN,Lieutenant Governor,,CST,"Wells, Bob",0
AUDRAIN,Secretary of State,,DEM,"Gaw, Steve",2387
AUDRAIN,Secretary of State,,DEM,"Askew, James J.",696
AUDRAIN,Secretary of State,,REP,"Blunt, Matt",545
AUDRAIN,Secretary of State,,REP,"Peterman, Raymond W.",60
AUDRAIN,Secretary of State,,REP,"Crump, Robert J.",53
AUDRAIN,Secretary of State,,LIB,"Southard, Jane Spence",5
AUDRAIN,Secretary of State,,CST,"Ivanovich, Donna L.",0
AUDRAIN,State Treasurer,,DEM,"May, Brian",1084
AUDRAIN,State Treasurer,,DEM,"Farmer, Nancy",1361
AUDRAIN,State Treasurer,,DEM,"Lakin, Scott",532
AUDRAIN,State Treasurer,,REP,"Boeke, Chester (Chet)",156
AUDRAIN,State Treasurer,,REP,"Graves, Todd",470
AUDRAIN,State Treasurer,,LIB,"Trembley, Arnold J.",5
AUDRAIN,State Treasurer,,CST,"Culligan, Kerry",0
AUDRAIN,Attorney General,,DEM,"Nixon, Jeremiah W. (Jay)",2881
AUDRAIN,Attorney General,,REP,"Jones, Sam",601
AUDRAIN,Attorney General,,LIB,"Moore, Mitch",5
AUDRAIN,Attorney General,,DEM,"Glawson, Michael Charles",429
AUDRAIN,Attorney General,,DEM,"Terry, Joe Cefius",354
AUDRAIN,Attorney General,,DEM,"Carroll, Steven R.",2123
AUDRAIN,Attorney General,,REP,"Hulshof, Kenny",696
AUDRAIN,Attorney General,,LIB,"Hoffman, Robert",5
AUDRAIN,Attorney General,,DEM,"Chipman, John Roy",182
AUDRAIN,Attorney General,,DEM,"Shoemyer, Wes",271
AUDRAIN,Attorney General,,DEM,"Jones, Jr., Ralph",13
AUDRAIN,Attorney General,,REP,"Graver, George",40
AUDRAIN,Attorney General,,REP,"Ebbesmeyer, James (Jamie)",58
AUDRAIN,Attorney General,,DEM,"Farnen, Ted",2664
AUDRAIN,Attorney General,,REP,"Sutherland, Keith M.",555
BARRY,U.S. Senate,,DEM,"Wagganer, Ronald William",183
BARRY,U.S. Senate,,DEM,"Carnahan, Mel",605
BARRY,U.S. Senate,,REP,"Ashcroft, John",3065
BARRY,U.S. Senate,,REP,"Perkel, Marc",311
BARRY,U.S. Senate,,LIB,"Stauffer, Grant Samuel",3
BARRY,Governor,,DEM,"Holden, Bob",755
BARRY,Governor,,REP,"Macy, Elgar",283
BARRY,Governor,,REP,"Talent, Jim",2429
BARRY,Governor,,REP,"Sievers, Jennie Lee (Jen)",405
BARRY,Governor,,LIB,"Swenson, John M.",3
BARRY,Governor,,LIB,"Illyes, Dick",0
BARRY,Governor,,CST,"Smith, Richard L.",0
BARRY,Lieutenant Governor,,DEM,"Maxwell, Joe",445
BARRY,Lieutenant Governor,,DEM,"Backer, Gracia Yancey",124
BARRY,Lieutenant Governor,,DEM,"Powell, Catherine",192
BARRY,Lieutenant Governor,,REP,"Ortwerth, Joe",812
BARRY,Lieutenant Governor,,REP,"Bailey, Wendell",2361
BARRY,Lieutenant Governor,,LIB,"Horras, Phillip W.",3
BARRY,Lieutenant Governor,,CST,"Wells, Bob",0
BARRY,Secretary of State,,DEM,"Gaw, Steve",302
BARRY,Secretary of State,,DEM,"Askew, James J.",448
BARRY,Secretary of State,,REP,"Blunt, Matt",2738
BARRY,Secretary of State,,REP,"Peterman, Raymond W.",252
BARRY,Secretary of State,,REP,"Crump, Robert J.",226
BARRY,Secretary of State,,LIB,"Southard, Jane Spence",3
BARRY,Secretary of State,,CST,"Ivanovich, Donna L.",0
BARRY,State Treasurer,,DEM,"May, Brian",274
BARRY,State Treasurer,,DEM,"Farmer, Nancy",319
BARRY,State Treasurer,,DEM,"Lakin, Scott",164
BARRY,State Treasurer,,REP,"Boeke, Chester (Chet)",677
BARRY,State Treasurer,,REP,"Graves, Todd",2202
BARRY,State Treasurer,,LIB,"Trembley, Arnold J.",3
BARRY,State Treasurer,,CST,"Culligan, Kerry",0
BARRY,Attorney General,,DEM,"Nixon, Jeremiah W. (Jay)",735
BARRY,Attorney General,,REP,"Jones, Sam",2773
BARRY,Attorney General,,LIB,"Moore, Mitch",3
BARRY,Attorney General,,DEM,"Christrup, Charles",696
BARRY,Attorney General,,REP,"Blunt, Roy",2952
BARRY,Attorney General,,REP,"Harman, Mike",380
BARRY,Attorney General,,LIB,"Burlison, Doug",3
BARRY,Attorney General,,REP,"Childers, Doyle",3034
BARRY,Attorney General,,REP,"Gaskill, Sam",2541
BARRY,Attorney General,,REP,"Bartelsmeyer, Linda",47
BARRY,Attorney General,,REP,"Berkstresser, Judy",548
BARRY,Attorney General,,REP,"Sweeney, J. Edward",2951
BARTON,U.S. Senate,,DEM,"Wagganer, Ronald William",55
BARTON,U.S. Senate,,DEM,"Carnahan, Mel",160
BARTON,U.S. Senate,,REP,"Ashcroft, John",1933
BARTON,U.S. Senate,,REP,"Perkel, Marc",171
BARTON,U.S. Senate,,LIB,"Stauffer, Grant Samuel",2
BARTON,Governor,,DEM,"Holden, Bob",193
BARTON,Governor,,REP,"Macy, Elgar",149
BARTON,Governor,,REP,"Talent, Jim",1536
BARTON,Governor,,REP,"Sievers, Jennie Lee (Jen)",234
BARTON,Governor,,LIB,"Swenson, John M.",2
BARTON,Governor,,LIB,"Illyes, Dick",0
BARTON,Governor,,CST,"Smith, Richard L.",1
BARTON,Lieutenant Governor,,DEM,"Maxwell, Joe",90
BARTON,Lieutenant Governor,,DEM,"Backer, Gracia Yancey",19
BARTON,Lieutenant Governor,,DEM,"Powell, Catherine",85
BARTON,Lieutenant Governor,,REP,"Ortwerth, Joe",480
BARTON,Lieutenant Governor,,REP,"Bailey, Wendell",1434
BARTON,Lieutenant Governor,,LIB,"Horras, Phillip W.",2
BARTON,Lieutenant Governor,,CST,"Wells, Bob",0
BARTON,Secretary of State,,DEM,"Gaw, Steve",66
BARTON,Secretary of State,,DEM,"Askew, James J.",132
BARTON,Secretary of State,,REP,"Blunt, Matt",1627
BARTON,Secretary of State,,REP,"Peterman, Raymond W.",154
BARTON,Secretary of State,,REP,"Crump, Robert J.",148
BARTON,Secretary of State,,LIB,"Southard, Jane Spence",1
BARTON,Secretary of State,,CST,"Ivanovich, Donna L.",0
BARTON,State Treasurer,,DEM,"May, Brian",33
BARTON,State Treasurer,,DEM,"Farmer, Nancy",93
BARTON,State Treasurer,,DEM,"Lakin, Scott",68
BARTON,State Treasurer,,REP,"Boeke, Chester (Chet)",283
BARTON,State Treasurer,,REP,"Graves, Todd",1545
BARTON,State Treasurer,,LIB,"Trembley, Arnold J.",2
BARTON,State Treasurer,,CST,"Culligan, Kerry",1
BARTON,Attorney General,,DEM,"Nixon, Jeremiah W. (Jay)",192
BARTON,Attorney General,,REP,"Jones, Sam",1622
BARTON,Attorney General,,LIB,"Moore, Mitch",2
BARTON,Attorney General,,DEM,"Christrup, Charles",173
BARTON,Attorney General,,REP,"Blunt, Roy",1873
BARTON,Attorney General,,REP,"Harman, Mike",215
BARTON,Attorney General,,LIB,"Burlison, Doug",2
BARTON,Attorney General,,REP,"Hohulin, Martin (Bubs)",1573
BARTON,Attorney General,,REP,"Mayfield, Randall",592
BARTON,Attorney General,,DEM,"Darnold, C. David",185
BARTON,Attorney General,,REP,"Bickel, James R.",1734
BATES,U.S. Senate,,DEM,"Wagganer, Ronald William",483
BATES,U.S. Senate,,DEM,"Carnahan, Mel",1645
BATES,U.S. Senate,,REP,"Ashcroft, John",712
BATES,U.S. Senate,,REP,"Perkel, Marc",59
BATES,U.S. Senate,,LIB,"Stauffer, Grant Samuel",2
BATES,Governor,,DEM,"Holden, Bob",1753
BATES,Governor,,REP,"Macy, Elgar",41
BATES,Governor,,REP,"Talent, Jim",604
BATES,Governor,,REP,"Sievers, Jennie Lee (Jen)",79
BATES,Governor,,LIB,"Swenson, John M.",1
BATES,Governor,,LIB,"Illyes, Dick",1
BATES,Governor,,CST,"Smith, Richard L.",0
BATES,Lieutenant Governor,,DEM,"Maxwell, Joe",1104
BATES,Lieutenant Governor,,DEM,"Backer, Gracia Yancey",372
BATES,Lieutenant Governor,,DEM,"Powell, Catherine",467
BATES,Lieutenant Governor,,REP,"Ortwerth, Joe",214
BATES,Lieutenant Governor,,REP,"Bailey, Wendell",479
BATES,Lieutenant Governor,,LIB,"Horras, Phillip W.",2
BATES,Lieutenant Governor,,CST,"Wells, Bob",0
BATES,Secretary of State,,DEM,"Gaw, Steve",724
BATES,Secretary of State,,DEM,"Askew, James J.",1174
BATES,Secretary of State,,REP,"Blunt, Matt",481
BATES,Secretary of State,,REP,"Peterman, Raymond W.",122
BATES,Secretary of State,,REP,"Crump, Robert J.",87
BATES,Secretary of State,,LIB,"Southard, Jane Spence",1
BATES,Secretary of State,,CST,"Ivanovich, Donna L.",0
BATES,State Treasurer,,DEM,"May, Brian",517
BATES,State Treasurer,,DEM,"Farmer, Nancy",841
BATES,State Treasurer,,DEM,"Lakin, Scott",504
BATES,State Treasurer,,REP,"Boeke, Chester (Chet)",152
BATES,State Treasurer,,REP,"Graves, Todd",492
BATES,State Treasurer,,LIB,"Trembley, Arnold J.",2
BATES,State Treasurer,,CST,"Culligan, Kerry",0
BATES,Attorney General,,DEM,"Nixon, Jeremiah W. (Jay)",1772
BATES,Attorney General,,REP,"Jones, Sam",607
BATES,Attorney General,,LIB,"Moore, Mitch",2
BATES,Attorney General,,DEM,"Skelton, Ike",1901
BATES,Attorney General,,REP,"Brown, Bob",218
BATES,Attorney General,,REP,"Noland, Jim",439
BATES,Attorney General,,LIB,"Knapp, Thomas L.",2
BATES,Attorney General,,DEM,"Caskey, Harold L.",1717
BATES,Attorney General,,REP,"Howerton, Jim",645
BATES,Attorney General,,DEM,"Cook, William M. (Bill)",963
BATES,Attorney General,,DEM,"Foursha, Sam",1058
BATES,Attorney General,,REP,"King, Jerry R.",723
BATES,Attorney General,,DEM,"Roberts, William J. (Bill)",1753
BENTON,U.S. Senate,,DEM,"Wagganer, Ronald William",113
BENTON,U.S. Senate,,DEM,"Carnahan, Mel",471
BENTON,U.S. Senate,,REP,"Ashcroft, John",2545
BENTON,U.S. Senate,,REP,"Perkel, Marc",421
BENTON,U.S. Senate,,LIB,"Stauffer, Grant Samuel",4
BENTON,Governor,,DEM,"Holden, Bob",557
BENTON,Governor,,REP,"Macy, Elgar",266
BENTON,Governor,,REP,"Talent, Jim",2068
BENTON,Governor,,REP,"Sievers, Jennie Lee (Jen)",411
BENTON,Governor,,LIB,"Swenson, John M.",3
BENTON,Governor,,LIB,"Illyes, Dick",1
BENTON,Governor,,CST,"Smith, Richard L.",0
BENTON,Lieutenant Governor,,DEM,"Maxwell, Joe",329
BENTON,Lieutenant Governor,,DEM,"Backer, Gracia Yancey",107
BENTON,Lieutenant Governor,,DEM,"Powell, Catherine",135
BENTON,Lieutenant Governor,,REP,"Ortwerth, Joe",737
BENTON,Lieutenant Governor,,REP,"Bailey, Wendell",1990
BENTON,Lieutenant Governor,,LIB,"Horras, Phillip W.",4
BENTON,Lieutenant Governor,,CST,"Wells, Bob",0
BENTON,Secretary of State,,DEM,"Gaw, Steve",258
BENTON,Secretary of State,,DEM,"Askew, James J.",306
BENTON,Secretary of State,,REP,"Blunt, Matt",2150
BENTON,Secretary of State,,REP,"Peterman, Raymond W.",307
BENTON,Secretary of State,,REP,"Crump, Robert J.",298
BENTON,Secretary of State,,LIB,"Southard, Jane Spence",4
BENTON,Secretary of State,,CST,"Ivanovich, Donna L.",0
BENTON,State Treasurer,,DEM,"May, Brian",200
BENTON,State Treasurer,,DEM,"Farmer, Nancy",251
BENTON,State Treasurer,,DEM,"Lakin, Scott",106
BENTON,State Treasurer,,REP,"Boeke, Chester (Chet)",644
BENTON,State Treasurer,,REP,"Graves, Todd",1901
BENTON,State Treasurer,,LIB,"Trembley, Arnold J.",4
BENTON,State Treasurer,,CST,"Culligan, Kerry",0
BENTON,Attorney General,,DEM,"Nixon, Jeremiah W. (Jay)",532
BENTON,Attorney General,,REP,"Jones, Sam",2379
BENTON,Attorney General,,LIB,"Moore, Mitch",4
BENTON,Attorney General,,DEM,"Skelton, Ike",568
BENTON,Attorney General,,REP,"Brown, Bob",1333
BENTON,Attorney General,,REP,"Noland, Jim",1250
BENTON,Attorney General,,LIB,"Knapp, Thomas L.",4
BENTON,Attorney General,,REP,"Scott, Delbert L.",2875
BENTON,Attorney General,,DEM,"Parks, John A.",531
BENTON,Attorney General,,REP,"Sims, John W. (Bill)",968
BENTON,Attorney General,,REP,"Brown, Mike",1085
BENTON,Attorney General,,REP,"Ankrom, Charles G.",733
BOLLINGER,U.S. Senate,,DEM,"Wagganer, Ronald William",160
BOLLINGER,U.S. Senate,,DEM,"Carnahan, Mel",529
BOLLINGER,U.S. Senate,,REP,"Ashcroft, John",1550
BOLLINGER,U.S. Senate,,REP,"Perkel, Marc",169
BOLLINGER,U.S. Senate,,LIB,"Stauffer, Grant Samuel",1
BOLLINGER,Governor,,DEM,"Holden, Bob",579
BOLLINGER,Governor,,REP,"Macy, Elgar",101
BOLLINGER,Governor,,REP,"Talent, Jim",1328
BOLLINGER,Governor,,REP,"Sievers, Jennie Lee (Jen)",153
BOLLINGER,Governor,,LIB,"Swenson, John M.",0
BOLLINGER,Governor,,LIB,"Illyes, Dick",1
BOLLINGER,Governor,,CST,"Smith, Richard L.",1
BOLLINGER,Lieutenant Governor,,DEM,"Maxwell, Joe",352
BOLLINGER,Lieutenant Governor,,DEM,"Backer, Gracia Yancey",87
BOLLINGER,Lieutenant Governor,,DEM,"Powell, Catherine",154
BOLLINGER,Lieutenant Governor,,REP,"Ortwerth, Joe",421
BOLLINGER,Lieutenant Governor,,REP,"Bailey, Wendell",1055
BOLLINGER,Lieutenant Governor,,LIB,"Horras, Phillip W.",1
BOLLINGER,Lieutenant Governor,,CST,"Wells, Bob",1
BOLLINGER,Secretary of State,,DEM,"Gaw, Steve",196
BOLLINGER,Secretary of State,,DEM,"Askew, James J.",393
BOLLINGER,Secretary of State,,REP,"Blunt, Matt",907
BOLLINGER,Secretary of State,,REP,"Peterman, Raymond W.",253
BOLLINGER,Secretary of State,,REP,"Crump, Robert J.",279
BOLLINGER,Secretary of State,,LIB,"Southard, Jane Spence",1
BOLLINGER,Secretary of State,,CST,"Ivanovich, Donna L.",1
BOLLINGER,State Treasurer,,DEM,"May, Brian",127
BOLLINGER,State Treasurer,,DEM,"Farmer, Nancy",223
BOLLINGER,State Treasurer,,DEM,"Lakin, Scott",223
BOLLINGER,State Treasurer,,REP,"Boeke, Chester (Chet)",390
BOLLINGER,State Treasurer,,REP,"Graves, Todd",952
BOLLINGER,State Treasurer,,LIB,"Trembley, Arnold J.",1
BOLLINGER,State Treasurer,,CST,"Culligan, Kerry",1
BOLLINGER,Attorney General,,DEM,"Nixon, Jeremiah W. (Jay)",543
BOLLINGER,Attorney General,,REP,"Jones, Sam",1224
BOLLINGER,Attorney General,,LIB,"Moore, Mitch",1
BOLLINGER,Attorney General,,DEM,"Durnell, Earl",229
BOLLINGER,Attorney General,,DEM,"Camp, Bob",319
BOLLINGER,Attorney General,,REP,"Emerson, Jo Ann",1588
BOLLINGER,Attorney General,,LIB,"Hendricks, Jr., John B.",1
BOLLINGER,Attorney General,,REP,"Kinder, Peter D.",1435
BOLLINGER,Attorney General,,DEM,"Cruse, Linda",31
BOLLINGER,Attorney General,,DEM,"Killian, Wm. Harry (Bill)",37
BOLLINGER,Attorney General,,DEM,"Henson, James (Jim)",50
BOLLINGER,Attorney General,,DEM,"DeSpain, Keith",41
BOLLINGER,Attorney General,,REP,"Stephenson, Joe",48
BOLLINGER,Attorney General,,REP,"Hart, William (Bill)",65
BOLLINGER,Attorney General,,REP,"Hovis, James Kevin",58
BOLLINGER,Attorney General,,REP,"Macke, Richard R.",60
BOLLINGER,Attorney General,,REP,"Burcham, Tom",44
BOLLINGER,Attorney General,,DEM,"Pedigo, Jr., Bill",152
BOLLINGER,Attorney General,,DEM,"Golden, Katherine",219
BOLLINGER,Attorney General,,REP,"Jetton, Rod",1015
BOLLINGER,Attorney General,,REP,"Slayton, Tim",334
BOLLINGER,Attorney General,,REP,"Schwab, David",67
BOLLINGER,Attorney General,,DEM,"Grimm, John W.",526
BOONE,U.S. Senate,,DEM,"Wagganer, Ronald William",1122
BOONE,U.S. Senate,,DEM,"Carnahan, Mel",6549
BOONE,U.S. Senate,,REP,"Ashcroft, John",4499
BOONE,U.S. Senate,,REP,"Perkel, Marc",304
BOONE,U.S. Senate,,LIB,"Stauffer, Grant Samuel",73
BOONE,Governor,,DEM,"Holden, Bob",6904
BOONE,Governor,,REP,"Macy, Elgar",159
BOONE,Governor,,REP,"Talent, Jim",4300
BOONE,Governor,,REP,"Sievers, Jennie Lee (Jen)",254
BOONE,Governor,,LIB,"Swenson, John M.",37
BOONE,Governor,,LIB,"Illyes, Dick",38
BOONE,Governor,,CST,"Smith, Richard L.",3
BOONE,Lieutenant Governor,,DEM,"Maxwell, Joe",4435
BOONE,Lieutenant Governor,,DEM,"Backer, Gracia Yancey",2464
BOONE,Lieutenant Governor,,DEM,"Powell, Catherine",709
BOONE,Lieutenant Governor,,REP,"Ortwerth, Joe",1817
BOONE,Lieutenant Governor,,REP,"Bailey, Wendell",2781
BOONE,Lieutenant Governor,,LIB,"Horras, Phillip W.",69
BOONE,Lieutenant Governor,,CST,"Wells, Bob",3
BOONE,Secretary of State,,DEM,"Gaw, Steve",5865
