candidate,office,district,party,county,precinct,votes
,Registered Voters,,,Grundy,1st Ward,1016
,Ballots Cast,,,Grundy,1st Ward,335
Tony Monetti,ÊU.S. Senate,,REP,Grundy,1st Ward,41
Austin Petersen,ÊU.S. Senate,,REP,Grundy,1st Ward,8
Josh Hawley,ÊU.S. Senate,,REP,Grundy,1st Ward,138
Fred Ryman,ÊU.S. Senate,,REP,Grundy,1st Ward,4
Christina Smith,ÊU.S. Senate,,REP,Grundy,1st Ward,16
Kristi Nichols,ÊU.S. Senate,,REP,Grundy,1st Ward,19
Bradley Krembs,ÊU.S. Senate,,REP,Grundy,1st Ward,2
Ken Patterson,ÊU.S. Senate,,REP,Grundy,1st Ward,4
Brian G Hagg,ÊU.S. Senate,,REP,Grundy,1st Ward,3
Courtland Sykes,ÊU.S. Senate,,REP,Grundy,1st Ward,5
Peter Pfeifer,ÊU.S. Senate,,REP,Grundy,1st Ward,15
Carla (Coffee) Wright,U S Senate,,DEM,Grundy,1st Ward,2
Angelica Earl,U S Senate,,DEM,Grundy,1st Ward,1
Leonard Joseph Steinman II,U S Senate,,DEM,Grundy,1st Ward,0
John Hogan,U S Senate,,DEM,Grundy,1st Ward,1
Travis Gonzalez,U S Senate,,DEM,Grundy,1st Ward,1
David Faust,U S Senate,,DEM,Grundy,1st Ward,2
Claire McCaskill,U S Senate,,DEM,Grundy,1st Ward,37
Japheth Campbell,U S Senate,,LIB,Grundy,1st Ward,0
Jo Crain,U S Senate,,GRN,Grundy,1st Ward,1
Jerome Bauer,U S Senate,,GRN,Grundy,1st Ward,0
Kevin M Roach,State Auditor,,REP,Grundy,1st Ward,62
David Wasinger,State Auditor,,REP,Grundy,1st Ward,47
Paul Curtman,State Auditor,,REP,Grundy,1st Ward,27
Saundra McDowell,State Auditor,,REP,Grundy,1st Ward,87
Nicole Galloway,State Auditor,,DEM,Grundy,1st Ward,37
Sean O'Toole,State Auditor,,LIB,Grundy,1st Ward,0
Don Fitz,State Auditor,,GRN,Grundy,1st Ward,1
Jacob Luetkemeyer,State Auditor,,CON,Grundy,1st Ward,1
Sam Graves,U S House,6,REP,Grundy,1st Ward,249
Winston Apple,U S House,6,DEM,Grundy,1st Ward,12
Henry Robert Martin,U S House,6,DEM,Grundy,1st Ward,17
Ed Andres,U S House,6,DEM,Grundy,1st Ward,10
Dan Hogan,U S House,6,LIB,Grundy,1st Ward,0
Dan Hegeman,State Senate,12,REP,Grundy,1st Ward,231
Terry Richard,State Senate,12,DEM,Grundy,1st Ward,36
Rusty Black,State Representative,7,REP,Grundy,1st Ward,260
Dennis VanDyke,State Representative,7,DEM,Grundy,1st Ward,37
,Registered Voters,,,Grundy,2nd Ward,890
,Ballots Cast,,,Grundy,2nd Ward,246
Tony Monetti,ÊU.S. Senate,,REP,Grundy,2nd Ward,32
Austin Petersen,ÊU.S. Senate,,REP,Grundy,2nd Ward,13
Josh Hawley,ÊU.S. Senate,,REP,Grundy,2nd Ward,88
Fred Ryman,ÊU.S. Senate,,REP,Grundy,2nd Ward,1
Christina Smith,ÊU.S. Senate,,REP,Grundy,2nd Ward,9
Kristi Nichols,ÊU.S. Senate,,REP,Grundy,2nd Ward,16
Bradley Krembs,ÊU.S. Senate,,REP,Grundy,2nd Ward,0
Ken Patterson,ÊU.S. Senate,,REP,Grundy,2nd Ward,10
Brian G Hagg,ÊU.S. Senate,,REP,Grundy,2nd Ward,4
Courtland Sykes,ÊU.S. Senate,,REP,Grundy,2nd Ward,2
Peter Pfeifer,ÊU.S. Senate,,REP,Grundy,2nd Ward,7
Carla (Coffee) Wright,U S Senate,,DEM,Grundy,2nd Ward,3
Angelica Earl,U S Senate,,DEM,Grundy,2nd Ward,3
Leonard Joseph Steinman II,U S Senate,,DEM,Grundy,2nd Ward,0
John Hogan,U S Senate,,DEM,Grundy,2nd Ward,1
Travis Gonzalez,U S Senate,,DEM,Grundy,2nd Ward,0
David Faust,U S Senate,,DEM,Grundy,2nd Ward,0
Claire McCaskill,U S Senate,,DEM,Grundy,2nd Ward,34
Japheth Campbell,U S Senate,,LIB,Grundy,2nd Ward,0
Jo Crain,U S Senate,,GRN,Grundy,2nd Ward,0
Jerome Bauer,U S Senate,,GRN,Grundy,2nd Ward,0
Kevin M Roach,State Auditor,,REP,Grundy,2nd Ward,45
David Wasinger,State Auditor,,REP,Grundy,2nd Ward,43
Paul Curtman,State Auditor,,REP,Grundy,2nd Ward,21
