county,precinct,office,district,candidate,party,votes
Audrain,Vandalia,U.S. Senate,,Registered Voters,REP,1363
Audrain,Vandalia,U.S. Senate,,Total Votes,REP,233
Audrain,Vandalia,U.S. Senate,,Tony Monetti,REP,25
Audrain,Vandalia,U.S. Senate,,Austin Petersen,REP,20
Audrain,Vandalia,U.S. Senate,,Josh Hawley,REP,131
Audrain,Vandalia,U.S. Senate,,Fred Ryman,REP,4
Audrain,Vandalia,U.S. Senate,,Christina Smith,REP,13
Audrain,Vandalia,U.S. Senate,,Kristi Nichols,REP,15
Audrain,Vandalia,U.S. Senate,,Bradley Krembs,REP,1
Audrain,Vandalia,U.S. Senate,,Ken Patterson,REP,7
Audrain,Vandalia,U.S. Senate,,Brian G. Hagg,REP,3
Audrain,Vandalia,U.S. Senate,,Courtland Sykes,REP,8
Audrain,Vandalia,U.S. Senate,,Peter Pfeifer,REP,6
Audrain,Vandalia,State Auditor,,Registered Voters,REP,1363
Audrain,Vandalia,State Auditor,,Total Votes,REP,214
Audrain,Vandalia,State Auditor,,Kevin M. Roach,REP,49
Audrain,Vandalia,State Auditor,,David Wasinger,REP,65
Audrain,Vandalia,State Auditor,,Paul Curtman,REP,24
Audrain,Vandalia,State Auditor,,Saundra McDowell,REP,76
Audrain,Vandalia,U.S. House,4,Registered Voters,REP,
Audrain,Vandalia,U.S. House,4,Total Votes,REP,
Audrain,Vandalia,U.S. House,4,John Webb,REP,
Audrain,Vandalia,U.S. House,4,Vicky Hartzler,REP,
Audrain,Vandalia,U.S. House,6,Registered Voters,REP,1363
Audrain,Vandalia,U.S. House,6,Total Votes,REP,217
Audrain,Vandalia,U.S. House,6,Sam Graves,REP,217
Audrain,Vandalia,State Senate,10,Registered Voters,REP,1363
Audrain,Vandalia,State Senate,10,Total Votes,REP,212
Audrain,Vandalia,State Senate,10,Jeanie Riddle,REP,212
Audrain,Vandalia,State House,43,Registered Voters,REP,1363
Audrain,Vandalia,State House,43,Total Votes,REP,230
Audrain,Vandalia,State House,43,Kent Haden,REP,171
Audrain,Vandalia,State House,43,Adela Falk,REP,26
Audrain,Vandalia,State House,43,Ed Lockwood,REP,33
Audrain,Vandalia,U.S. Senate,,Registered Voters,DEM,1363
Audrain,Vandalia,U.S. Senate,,Total Votes,DEM,181
Audrain,Vandalia,U.S. Senate,,Carla (Coffee) Wright,DEM,19
Audrain,Vandalia,U.S. Senate,,Angelica Earl,DEM,8
Audrain,Vandalia,U.S. Senate,,Leonard Joseph Steinman II,DEM,1
Audrain,Vandalia,U.S. Senate,,John Hogan,DEM,6
Audrain,Vandalia,U.S. Senate,,Travis Gonzalez,DEM,4
Audrain,Vandalia,U.S. Senate,,David Faust,DEM,5
Audrain,Vandalia,U.S. Senate,,Claire McCaskill,DEM,138
Audrain,Vandalia,State Auditor,,Registered Voters,DEM,1363
Audrain,Vandalia,State Auditor,,Total Votes,DEM,159
Audrain,Vandalia,State Auditor,,Nicole Galloway,DEM,159
Audrain,Vandalia,U.S. House,4,Registered Voters,DEM,
Audrain,Vandalia,U.S. House,4,Total Votes,DEM,
Audrain,Vandalia,U.S. House,4,Renee Hoagenson,DEM,
Audrain,Vandalia,U.S. House,4,Hallie J. Thompson,DEM,
Audrain,Vandalia,U.S. House,6,Registered Voters,DEM,1363
Audrain,Vandalia,U.S. House,6,Total Votes,DEM,160
Audrain,Vandalia,U.S. House,6,Winston Apple,DEM,60
Audrain,Vandalia,U.S. House,6,Henry Robert Martin,DEM,65
Audrain,Vandalia,U.S. House,6,Ed Andres,DEM,35
Audrain,Vandalia,State Senate,10,Registered Voters,DEM,1363
Audrain,Vandalia,State Senate,10,Total Votes,DEM,160
Audrain,Vandalia,State Senate,10,Ayanna Shivers,DEM,160
Audrain,Vandalia,State House,43,Registered Voters,DEM,1363
Audrain,Vandalia,State House,43,Total Votes,DEM,159
Audrain,Vandalia,State House,43,Jamie Blair,DEM,159
Audrain,Vandalia,U.S. Senate,,Registered Voters,LIB,1363
Audrain,Vandalia,U.S. Senate,,Total Votes,LIB,0
Audrain,Vandalia,U.S. Senate,,Japheth Campbell,LIB,0
Audrain,Vandalia,State Auditor,,Registered Voters,LIB,1363
Audrain,Vandalia,State Auditor,,Total Votes,LIB,0
Audrain,Vandalia,State Auditor,,Sean O'Toole,LIB,0
Audrain,Vandalia,U.S. House,4,Registered Voters,LIB,
Audrain,Vandalia,U.S. House,4,Total Votes,LIB,
Audrain,Vandalia,U.S. House,4,Steven Koonse,LIB,
Audrain,Vandalia,U.S. House,4,Mark Bliss,LIB,
Audrain,Vandalia,U.S. House,6,Registered Voters,LIB,1363
Audrain,Vandalia,U.S. House,6,Total Votes,LIB,0
Audrain,Vandalia,U.S. House,6,Dan Hogan,LIB,0
Audrain,Vandalia,U.S. Senate,,Registered Voters,GRN,1363
Audrain,Vandalia,U.S. Senate,,Total Votes,GRN,0
Audrain,Vandalia,U.S. Senate,,Jo Crain,GRN,0
Audrain,Vandalia,U.S. Senate,,Jerome Bauer,GRN,0
Audrain,Vandalia,State Auditor,,Registered Voters,GRN,1363
Audrain,Vandalia,State Auditor,,Total Votes,GRN,0
Audrain,Vandalia,State Auditor,,Don Fitz,GRN,0
Audrain,Vandalia,State Auditor,,Registered Voters,CST,1363
Audrain,Vandalia,State Auditor,,Total Votes,CST,0
Audrain,Vandalia,State Auditor,,Jacob Luetkemeyer,CST,0
Audrain,E Cuivre,U.S. Senate,,Registered Voters,REP,390
Audrain,E Cuivre,U.S. Senate,,Total Votes,REP,81
Audrain,E Cuivre,U.S. Senate,,Tony Monetti,REP,7
Audrain,E Cuivre,U.S. Senate,,Austin Petersen,REP,6
Audrain,E Cuivre,U.S. Senate,,Josh Hawley,REP,49
Audrain,E Cuivre,U.S. Senate,,Fred Ryman,REP,2
Audrain,E Cuivre,U.S. Senate,,Christina Smith,REP,2
Audrain,E Cuivre,U.S. Senate,,Kristi Nichols,REP,10
Audrain,E Cuivre,U.S. Senate,,Bradley Krembs,REP,0
Audrain,E Cuivre,U.S. Senate,,Ken Patterson,REP,3
Audrain,E Cuivre,U.S. Senate,,Brian G. Hagg,REP,1
Audrain,E Cuivre,U.S. Senate,,Courtland Sykes,REP,0
Audrain,E Cuivre,U.S. Senate,,Peter Pfeifer,REP,1
Audrain,E Cuivre,State Auditor,,Registered Voters,REP,390
Audrain,E Cuivre,State Auditor,,Total Votes,REP,80
Audrain,E Cuivre,State Auditor,,Kevin M. Roach,REP,16
Audrain,E Cuivre,State Auditor,,David Wasinger,REP,35
Audrain,E Cuivre,State Auditor,,Paul Curtman,REP,7
Audrain,E Cuivre,State Auditor,,Saundra McDowell,REP,22
Audrain,E Cuivre,U.S. House,4,Registered Voters,REP,
Audrain,E Cuivre,U.S. House,4,Total Votes,REP,
Audrain,E Cuivre,U.S. House,4,John Webb,REP,
Audrain,E Cuivre,U.S. House,4,Vicky Hartzler,REP,
Audrain,E Cuivre,U.S. House,6,Registered Voters,REP,390
Audrain,E Cuivre,U.S. House,6,Total Votes,REP,74
