candidate,office,district,party,county,precinct,votes
,Registered Voters,,REP,Pettis,1st Ward,3261.0
,Ballots Cast,,REP,Pettis,1st Ward,390.0
Tony Monetti,U.S. Senate,,REP,Pettis,1st Ward,46.0
Austin Petersen,U.S. Senate,,REP,Pettis,1st Ward,15.0
Josh Hawley,U.S. Senate,,REP,Pettis,1st Ward,251.0
Fred Ryman,U.S. Senate,,REP,Pettis,1st Ward,3.0
Christina Smith,U.S. Senate,,REP,Pettis,1st Ward,20.0
Kristi Nichols,U.S. Senate,,REP,Pettis,1st Ward,27.0
Bradley Krembs,U.S. Senate,,REP,Pettis,1st Ward,2.0
Ken Patterson,U.S. Senate,,REP,Pettis,1st Ward,9.0
Brian G Hagg,U.S. Senate,,REP,Pettis,1st Ward,7.0
Courtland Sykes,U.S. Senate,,REP,Pettis,1st Ward,2.0
Peter Pfeifer,U.S. Senate,,REP,Pettis,1st Ward,8.0
Kevin M Roach,State Auditor,,REP,Pettis,1st Ward,110.0
David Wasinger,State Auditor,,REP,Pettis,1st Ward,65.0
Paul Curtman,State Auditor,,REP,Pettis,1st Ward,63.0
Saundra McDowell,State Auditor,,REP,Pettis,1st Ward,123.0
John Webb,U S House,4,REP,Pettis,1st Ward,118.0
Vicky Hartzler,U S House,4,REP,Pettis,1st Ward,275.0
Sandy Crawford,State Senate,28,REP,Pettis,1st Ward,334.0
Dave Muntzel,State Representative,48,REP,Pettis,1st Ward,
Dean A Dohrman,State Representative,51,REP,Pettis,1st Ward,
Bradley Pollitt,State Representative,52,REP,Pettis,1st Ward,344.0
Dan Houx,State Representative,54,REP,Pettis,1st Ward,
,Registered Voters,,DEM,Pettis,1st Ward,3261.0
,Ballots Cast,,DEM,Pettis,1st Ward,274.0
Carla (Coffee) Wright,U S Senate,,DEM,Pettis,1st Ward,26.0
Angelica Earl,U S Senate,,DEM,Pettis,1st Ward,14.0
Leonard Joseph Steinman II,U S Senate,,DEM,Pettis,1st Ward,1.0
John Hogan,U S Senate,,DEM,Pettis,1st Ward,3.0
Travis Gonzalez,U S Senate,,DEM,Pettis,1st Ward,11.0
David Faust,U S Senate,,DEM,Pettis,1st Ward,7.0
Claire McCaskill,U S Senate,,DEM,Pettis,1st Ward,212.0
Nicole Galloway,State Auditor,,DEM,Pettis,1st Ward,230.0
Renee Hoagenson,U S House,4,DEM,Pettis,1st Ward,184.0
Hallie J Thompson,U S House,4,DEM,Pettis,1st Ward,79.0
Joe Poor,State Senate,28,DEM,Pettis,1st Ward,237.0
Raymond (Jeff) Faubion,State Representative,48,DEM,Pettis,1st Ward,
Vince Lutterbie,State Representative,51,DEM,Pettis,1st Ward,
Dan Marshall,State Representative,52,DEM,Pettis,1st Ward,240.0
James L. Williams,State Representative,54,DEM,Pettis,1st Ward,
,Registered Voters,,LIB,Pettis,1st Ward,3261.0
,Ballots Cast,,LIB,Pettis,1st Ward,0.0
