candidate,office,district,party,county,precinct,votes
,Registered Voters,,REP,Livingston,Blue Mound TWP-Monroe TWP,538.0
,Ballots Cast,,REP,Livingston,Blue Mound TWP-Monroe TWP,178.0
Tony Monetti,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,6.0
Austin Petersen,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,7.0
Josh Hawley,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,35.0
Fred Ryman,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,0.0
Christina Smith,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,7.0
Kristi Nichols,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,4.0
Bradley Krembs,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,3.0
Ken Patterson,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,3.0
Brian G Hagg,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,0.0
Courtland Sykes,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,1.0
Peter Pfeifer,U.S. Senate,,REP,Livingston,Blue Mound TWP-Monroe TWP,0.0
Carla (Coffee) Wright,U S Senate,,DEM,Livingston,Blue Mound TWP-Monroe TWP,13.0
Angelica Earl,U S Senate,,DEM,Livingston,Blue Mound TWP-Monroe TWP,5.0
Leonard Joseph Steinman II,U S Senate,,DEM,Livingston,Blue Mound TWP-Monroe TWP,4.0
John Hogan,U S Senate,,DEM,Livingston,Blue Mound TWP-Monroe TWP,9.0
Travis Gonzalez,U S Senate,,DEM,Livingston,Blue Mound TWP-Monroe TWP,4.0
David Faust,U S Senate,,DEM,Livingston,Blue Mound TWP-Monroe TWP,6.0
Claire McCaskill,U S Senate,,DEM,Livingston,Blue Mound TWP-Monroe TWP,36.0
Japheth Campbell,U S Senate,,LIB,Livingston,Blue Mound TWP-Monroe TWP,0.0
Jo Crain,U S Senate,,GRN,Livingston,Blue Mound TWP-Monroe TWP,0.0
Jerome Bauer,U S Senate,,GRN,Livingston,Blue Mound TWP-Monroe TWP,0.0
Kevin M Roach,State Auditor,,REP,Livingston,Blue Mound TWP-Monroe TWP,13.0
David Wasinger,State Auditor,,REP,Livingston,Blue Mound TWP-Monroe TWP,16.0
Paul Curtman,State Auditor,,REP,Livingston,Blue Mound TWP-Monroe TWP,12.0
Saundra McDowell,State Auditor,,REP,Livingston,Blue Mound TWP-Monroe TWP,16.0
Nicole Galloway,State Auditor,,DEM,Livingston,Blue Mound TWP-Monroe TWP,62.0
Sean O'Toole,State Auditor,,LIB,Livingston,Blue Mound TWP-Monroe TWP,0.0
Don Fitz,State Auditor,,GRN,Livingston,Blue Mound TWP-Monroe TWP,0.0
Jacob Luetkemeyer,State Auditor,,CSTEG,Livingston,Blue Mound TWP-Monroe TWP,0.0
Sam Graves,U S House,6,REP,Livingston,Blue Mound TWP-Monroe TWP,63.0
Winston Apple,U S House,6,DEM,Livingston,Blue Mound TWP-Monroe TWP,14.0
Henry Robert Martin,U S House,6,DEM,Livingston,Blue Mound TWP-Monroe TWP,31.0
Ed Andres,U S House,6,DEM,Livingston,Blue Mound TWP-Monroe TWP,15.0
Dan Hogan,U S House,6,LIB,Livingston,Blue Mound TWP-Monroe TWP,0.0
Rusty Black,State Representative,7,REP,Livingston,Blue Mound TWP-Monroe TWP,66.0
Dennis VanDyke,State Representative,7,DEM,Livingston,Blue Mound TWP-Monroe TWP,54.0
,Registered Voters,,REP,Livingston,Chillicothe Ward 1,1682.0
,Ballots Cast,,REP,Livingston,Chillicothe Ward 1,516.0
Tony Monetti,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,18.0
Austin Petersen,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,9.0
Josh Hawley,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,132.0
Fred Ryman,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,2.0
Christina Smith,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,14.0
Kristi Nichols,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,13.0
Bradley Krembs,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,3.0
Ken Patterson,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,3.0
Brian G Hagg,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,1.0
Courtland Sykes,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,2.0
Peter Pfeifer,U.S. Senate,,REP,Livingston,Chillicothe Ward 1,2.0
Carla (Coffee) Wright,U S Senate,,DEM,Livingston,Chillicothe Ward 1,27.0
Angelica Earl,U S Senate,,DEM,Livingston,Chillicothe Ward 1,8.0
Leonard Joseph Steinman II,U S Senate,,DEM,Livingston,Chillicothe Ward 1,13.0
John Hogan,U S Senate,,DEM,Livingston,Chillicothe Ward 1,27.0
Travis Gonzalez,U S Senate,,DEM,Livingston,Chillicothe Ward 1,7.0
David Faust,U S Senate,,DEM,Livingston,Chillicothe Ward 1,22.0
Claire McCaskill,U S Senate,,DEM,Livingston,Chillicothe Ward 1,128.0
Japheth Campbell,U S Senate,,LIB,Livingston,Chillicothe Ward 1,1.0
Jo Crain,U S Senate,,GRN,Livingston,Chillicothe Ward 1,0.0
Jerome Bauer,U S Senate,,GRN,Livingston,Chillicothe Ward 1,0.0
Kevin M Roach,State Auditor,,REP,Livingston,Chillicothe Ward 1,46.0
David Wasinger,State Auditor,,REP,Livingston,Chillicothe Ward 1,58.0
Paul Curtman,State Auditor,,REP,Livingston,Chillicothe Ward 1,17.0
Saundra McDowell,State Auditor,,REP,Livingston,Chillicothe Ward 1,52.0
Nicole Galloway,State Auditor,,DEM,Livingston,Chillicothe Ward 1,192.0
Sean O'Toole,State Auditor,,LIB,Livingston,Chillicothe Ward 1,1.0
Don Fitz,State Auditor,,GRN,Livingston,Chillicothe Ward 1,0.0
Jacob Luetkemeyer,State Auditor,,CSTEG,Livingston,Chillicothe Ward 1,0.0
Sam Graves,U S House,6,REP,Livingston,Chillicothe Ward 1,199.0
Winston Apple,U S House,6,DEM,Livingston,Chillicothe Ward 1,61.0
Henry Robert Martin,U S House,6,DEM,Livingston,Chillicothe Ward 1,91.0
Ed Andres,U S House,6,DEM,Livingston,Chillicothe Ward 1,39.0
Dan Hogan,U S House,6,LIB,Livingston,Chillicothe Ward 1,1.0
Rusty Black,State Representative,7,REP,Livingston,Chillicothe Ward 1,207.0
Dennis VanDyke,State Representative,7,DEM,Livingston,Chillicothe Ward 1,191.0
,Registered Voters,,REP,Livingston,Chillicothe Ward 2,1038.0
,Ballots Cast,,REP,Livingston,Chillicothe Ward 2,308.0
Tony Monetti,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,13.0
Austin Petersen,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,9.0
Josh Hawley,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,68.0
Fred Ryman,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,2.0
Christina Smith,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,4.0
Kristi Nichols,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,13.0
Bradley Krembs,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,0.0
Ken Patterson,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,5.0
Brian G Hagg,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,0.0
Courtland Sykes,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,3.0
Peter Pfeifer,U.S. Senate,,REP,Livingston,Chillicothe Ward 2,5.0
Carla (Coffee) Wright,U S Senate,,DEM,Livingston,Chillicothe Ward 2,15.0
Angelica Earl,U S Senate,,DEM,Livingston,Chillicothe Ward 2,5.0
Leonard Joseph Steinman II,U S Senate,,DEM,Livingston,Chillicothe Ward 2,5.0
John Hogan,U S Senate,,DEM,Livingston,Chillicothe Ward 2,17.0
Travis Gonzalez,U S Senate,,DEM,Livingston,Chillicothe Ward 2,6.0
David Faust,U S Senate,,DEM,Livingston,Chillicothe Ward 2,10.0
Claire McCaskill,U S Senate,,DEM,Livingston,Chillicothe Ward 2,91.0
Japheth Campbell,U S Senate,,LIB,Livingston,Chillicothe Ward 2,0.0
Jo Crain,U S Senate,,GRN,Livingston,Chillicothe Ward 2,0.0
Jerome Bauer,U S Senate,,GRN,Livingston,Chillicothe Ward 2,0.0
Kevin M Roach,State Auditor,,REP,Livingston,Chillicothe Ward 2,28.0
David Wasinger,State Auditor,,REP,Livingston,Chillicothe Ward 2,22.0
Paul Curtman,State Auditor,,REP,Livingston,Chillicothe Ward 2,17.0
Saundra McDowell,State Auditor,,REP,Livingston,Chillicothe Ward 2,44.0
Nicole Galloway,State Auditor,,DEM,Livingston,Chillicothe Ward 2,108.0
Sean O'Toole,State Auditor,,LIB,Livingston,Chillicothe Ward 2,0.0
Don Fitz,State Auditor,,GRN,Livingston,Chillicothe Ward 2,0.0
Jacob Luetkemeyer,State Auditor,,CSTEG,Livingston,Chillicothe Ward 2,0.0
Sam Graves,U S House,6,REP,Livingston,Chillicothe Ward 2,120.0
Winston Apple,U S House,6,DEM,Livingston,Chillicothe Ward 2,41.0
Henry Robert Martin,U S House,6,DEM,Livingston,Chillicothe Ward 2,56.0
Ed Andres,U S House,6,DEM,Livingston,Chillicothe Ward 2,24.0
Dan Hogan,U S House,6,LIB,Livingston,Chillicothe Ward 2,0.0
Rusty Black,State Representative,7,REP,Livingston,Chillicothe Ward 2,126.0
Dennis VanDyke,State Representative,7,DEM,Livingston,Chillicothe Ward 2,109.0
,Registered Voters,,REP,Livingston,Chillicothe Ward 3 & 4,2682.0
,Ballots Cast,,REP,Livingston,Chillicothe Ward 3 & 4,570.0
Tony Monetti,U.S. Senate,,REP,Livingston,Chillicothe Ward 3 & 4,14.0
Austin Petersen,U.S. Senate,,REP,Livingston,Chillicothe Ward 3 & 4,15.0
