candidate,office,district,party,county,precinct,votes
Tony Monetti,U.S. Senate,,REP,Scott,Ward 1,32
Austin Petersen,U.S. Senate,,REP,Scott,Ward 1,37
Josh Hawley,U.S. Senate,,REP,Scott,Ward 1,359
Fred Ryman,U.S. Senate,,REP,Scott,Ward 1,6
Christina Smith,U.S. Senate,,REP,Scott,Ward 1,19
Kristi Nichols,U.S. Senate,,REP,Scott,Ward 1,29
Bradley Krembs,U.S. Senate,,REP,Scott,Ward 1,3
Ken Patterson,U.S. Senate,,REP,Scott,Ward 1,7
Brian G Hagg,U.S. Senate,,REP,Scott,Ward 1,1
Courtland Sykes,U.S. Senate,,REP,Scott,Ward 1,15
Peter Pfeifer,U.S. Senate,,REP,Scott,Ward 1,12
Kevin M Roach,State Auditor,,REP,Scott,Ward 1,124
David Wasinger,State Auditor,,REP,Scott,Ward 1,91
Paul Curtman,State Auditor,,REP,Scott,Ward 1,56
Saundra McDowell,State Auditor,,REP,Scott,Ward 1,173
Jason Smith,U S House,8,REP,Scott,Ward 1,499
Holly Rehder,State Representative,148,REP,Scott,Ward 1,470
Don Rone,State Representative,149,REP,Scott,Ward 1,7
Herman Morse,State Representative,151,REP,Scott,Ward 1,13
Carla (Coffee) Wright,U S Senate,,DEM,Scott,Ward 1,90
Angelica Earl,U S Senate,,DEM,Scott,Ward 1,17
Leonard Joseph Steinman II,U S Senate,,DEM,Scott,Ward 1,14
John Hogan,U S Senate,,DEM,Scott,Ward 1,67
Travis Gonzalez,U S Senate,,DEM,Scott,Ward 1,24
David Faust,U S Senate,,DEM,Scott,Ward 1,57
Claire McCaskill,U S Senate,,DEM,Scott,Ward 1,272
Nicole Galloway,State Auditor,,DEM,Scott,Ward 1,432
Kathy Ellis,U S House,8,DEM,Scott,Ward 1,426
Bill Burlison,State Representative,149,DEM,Scott,Ward 1,6
J T (Jerry) Howard,State Representative,151,DEM,Scott,Ward 1,3
Japheth Campbell,U S Senate,,LIB,Scott,Ward 1,1
Sean O'Toole,State Auditor,,LIB,Scott,Ward 1,1
Jonathan L Shell,U S House,8,LIB,Scott,Ward 1,1
Rick Vandeven,State Representative,151,LIB,Scott,Ward 1,0
Jo Crain,U S Senate,,GRN,Scott,Ward 1,2
Jerome Bauer,U S Senate,,GRN,Scott,Ward 1,0
Don Fitz,State Auditor,,GRN,Scott,Ward 1,2
Jacob Luetkemeyer,State Auditor,,CON,Scott,Ward 1,0
Tony Monetti,U.S. Senate,,REP,Scott,WARD 2,27
Austin Petersen,U.S. Senate,,REP,Scott,WARD 2,18
Josh Hawley,U.S. Senate,,REP,Scott,WARD 2,209
Fred Ryman,U.S. Senate,,REP,Scott,WARD 2,2
Christina Smith,U.S. Senate,,REP,Scott,WARD 2,13
Kristi Nichols,U.S. Senate,,REP,Scott,WARD 2,19
Bradley Krembs,U.S. Senate,,REP,Scott,WARD 2,3
Ken Patterson,U.S. Senate,,REP,Scott,WARD 2,6
Brian G Hagg,U.S. Senate,,REP,Scott,WARD 2,1
Courtland Sykes,U.S. Senate,,REP,Scott,WARD 2,13
Peter Pfeifer,U.S. Senate,,REP,Scott,WARD 2,8
Kevin M Roach,State Auditor,,REP,Scott,WARD 2,76
David Wasinger,State Auditor,,REP,Scott,WARD 2,43
Paul Curtman,State Auditor,,REP,Scott,WARD 2,55
Saundra McDowell,State Auditor,,REP,Scott,WARD 2,105
Jason Smith,U S House,8,REP,Scott,WARD 2,299
Holly Rehder,State Representative,148,REP,Scott,WARD 2,253
Don Rone,State Representative,149,REP,Scott,WARD 2,33
Herman Morse,State Representative,151,REP,Scott,WARD 2,x
Carla (Coffee) Wright,U S Senate,,DEM,Scott,WARD 2,51
Angelica Earl,U S Senate,,DEM,Scott,WARD 2,4
Leonard Joseph Steinman II,U S Senate,,DEM,Scott,WARD 2,8
John Hogan,U S Senate,,DEM,Scott,WARD 2,31
Travis Gonzalez,U S Senate,,DEM,Scott,WARD 2,14
David Faust,U S Senate,,DEM,Scott,WARD 2,26
Claire McCaskill,U S Senate,,DEM,Scott,WARD 2,194
Nicole Galloway,State Auditor,,DEM,Scott,WARD 2,254
Kathy Ellis,U S House,8,DEM,Scott,WARD 2,248
Bill Burlison,State Representative,149,DEM,Scott,WARD 2,31
J T (Jerry) Howard,State Representative,151,DEM,Scott,WARD 2,x
Japheth Campbell,U S Senate,,LIB,Scott,WARD 2,2
Sean O'Toole,State Auditor,,LIB,Scott,WARD 2,2
Jonathan L Shell,U S House,8,LIB,Scott,WARD 2,2
Rick Vandeven,State Representative,151,LIB,Scott,WARD 2,x
Jo Crain,U S Senate,,GRN,Scott,WARD 2,0
Jerome Bauer,U S Senate,,GRN,Scott,WARD 2,0
Don Fitz,State Auditor,,GRN,Scott,WARD 2,0
Jacob Luetkemeyer,State Auditor,,CON,Scott,WARD 2,0
Tony Monetti,U.S. Senate,,REP,Scott,WARD 3,2
Austin Petersen,U.S. Senate,,REP,Scott,WARD 3,7
Josh Hawley,U.S. Senate,,REP,Scott,WARD 3,105
Fred Ryman,U.S. Senate,,REP,Scott,WARD 3,2
Christina Smith,U.S. Senate,,REP,Scott,WARD 3,8
Kristi Nichols,U.S. Senate,,REP,Scott,WARD 3,15
Bradley Krembs,U.S. Senate,,REP,Scott,WARD 3,0
Ken Patterson,U.S. Senate,,REP,Scott,WARD 3,3
Brian G Hagg,U.S. Senate,,REP,Scott,WARD 3,1
Courtland Sykes,U.S. Senate,,REP,Scott,WARD 3,4
Peter Pfeifer,U.S. Senate,,REP,Scott,WARD 3,3
Kevin M Roach,State Auditor,,REP,Scott,WARD 3,43
David Wasinger,State Auditor,,REP,Scott,WARD 3,27
Paul Curtman,State Auditor,,REP,Scott,WARD 3,15
Saundra McDowell,State Auditor,,REP,Scott,WARD 3,55
Jason Smith,U S House,8,REP,Scott,WARD 3,141
Holly Rehder,State Representative,148,REP,Scott,WARD 3,x
Don Rone,State Representative,149,REP,Scott,WARD 3,137
Herman Morse,State Representative,151,REP,Scott,WARD 3,x
Carla (Coffee) Wright,U S Senate,,DEM,Scott,WARD 3,20
Angelica Earl,U S Senate,,DEM,Scott,WARD 3,4
Leonard Joseph Steinman II,U S Senate,,DEM,Scott,WARD 3,2
John Hogan,U S Senate,,DEM,Scott,WARD 3,14
Travis Gonzalez,U S Senate,,DEM,Scott,WARD 3,2
David Faust,U S Senate,,DEM,Scott,WARD 3,10
Claire McCaskill,U S Senate,,DEM,Scott,WARD 3,86
Nicole Galloway,State Auditor,,DEM,Scott,WARD 3,107
Kathy Ellis,U S House,8,DEM,Scott,WARD 3,110
Bill Burlison,State Representative,149,DEM,Scott,WARD 3,110
J T (Jerry) Howard,State Representative,151,DEM,Scott,WARD 3,x
Japheth Campbell,U S Senate,,LIB,Scott,WARD 3,0
Sean O'Toole,State Auditor,,LIB,Scott,WARD 3,0
Jonathan L Shell,U S House,8,LIB,Scott,WARD 3,0
Rick Vandeven,State Representative,151,LIB,Scott,WARD 3,x
Jo Crain,U S Senate,,GRN,Scott,WARD 3,0
Jerome Bauer,U S Senate,,GRN,Scott,WARD 3,0
Don Fitz,State Auditor,,GRN,Scott,WARD 3,0
Jacob Luetkemeyer,State Auditor,,CON,Scott,WARD 3,0
Tony Monetti,U.S. Senate,,REP,Scott,WARD 4,2
Austin Petersen,U.S. Senate,,REP,Scott,WARD 4,2
Josh Hawley,U.S. Senate,,REP,Scott,WARD 4,31
Fred Ryman,U.S. Senate,,REP,Scott,WARD 4,0
Christina Smith,U.S. Senate,,REP,Scott,WARD 4,2
Kristi Nichols,U.S. Senate,,REP,Scott,WARD 4,4
Bradley Krembs,U.S. Senate,,REP,Scott,WARD 4,0
Ken Patterson,U.S. Senate,,REP,Scott,WARD 4,0
Brian G Hagg,U.S. Senate,,REP,Scott,WARD 4,0
Courtland Sykes,U.S. Senate,,REP,Scott,WARD 4,1
Peter Pfeifer,U.S. Senate,,REP,Scott,WARD 4,1
Kevin M Roach,State Auditor,,REP,Scott,WARD 4,11
David Wasinger,State Auditor,,REP,Scott,WARD 4,12
Paul Curtman,State Auditor,,REP,Scott,WARD 4,9
Saundra McDowell,State Auditor,,REP,Scott,WARD 4,7
Jason Smith,U S House,8,REP,Scott,WARD 4,37
Holly Rehder,State Representative,148,REP,Scott,WARD 4,x
Don Rone,State Representative,149,REP,Scott,WARD 4,37
Herman Morse,State Representative,151,REP,Scott,WARD 4,x
Carla (Coffee) Wright,U S Senate,,DEM,Scott,WARD 4,12
Angelica Earl,U S Senate,,DEM,Scott,WARD 4,1
Leonard Joseph Steinman II,U S Senate,,DEM,Scott,WARD 4,4
John Hogan,U S Senate,,DEM,Scott,WARD 4,1
Travis Gonzalez,U S Senate,,DEM,Scott,WARD 4,1
David Faust,U S Senate,,DEM,Scott,WARD 4,7
Claire McCaskill,U S Senate,,DEM,Scott,WARD 4,170
Nicole Galloway,State Auditor,,DEM,Scott,WARD 4,151
Kathy Ellis,U S House,8,DEM,Scott,WARD 4,162
Bill Burlison,State Representative,149,DEM,Scott,WARD 4,163
J T (Jerry) Howard,State Representative,151,DEM,Scott,WARD 4,x
Japheth Campbell,U S Senate,,LIB,Scott,WARD 4,0
Sean O'Toole,State Auditor,,LIB,Scott,WARD 4,0
Jonathan L Shell,U S House,8,LIB,Scott,WARD 4,0
Rick Vandeven,State Representative,151,LIB,Scott,WARD 4,x
Jo Crain,U S Senate,,GRN,Scott,WARD 4,0
Jerome Bauer,U S Senate,,GRN,Scott,WARD 4,0
Don Fitz,State Auditor,,GRN,Scott,WARD 4,0
Jacob Luetkemeyer,State Auditor,,CON,Scott,WARD 4,0
Tony Monetti,U.S. Senate,,REP,Scott,MINER,13
Austin Petersen,U.S. Senate,,REP,Scott,MINER,8
Josh Hawley,U.S. Senate,,REP,Scott,MINER,147
Fred Ryman,U.S. Senate,,REP,Scott,MINER,2
Christina Smith,U.S. Senate,,REP,Scott,MINER,14
Kristi Nichols,U.S. Senate,,REP,Scott,MINER,16
Bradley Krembs,U.S. Senate,,REP,Scott,MINER,0
Ken Patterson,U.S. Senate,,REP,Scott,MINER,7
Brian G Hagg,U.S. Senate,,REP,Scott,MINER,1
Courtland Sykes,U.S. Senate,,REP,Scott,MINER,6
Peter Pfeifer,U.S. Senate,,REP,Scott,MINER,7
Kevin M Roach,State Auditor,,REP,Scott,MINER,53
David Wasinger,State Auditor,,REP,Scott,MINER,42
Paul Curtman,State Auditor,,REP,Scott,MINER,24
Saundra McDowell,State Auditor,,REP,Scott,MINER,80
Jason Smith,U S House,8,REP,Scott,MINER,219
Holly Rehder,State Representative,148,REP,Scott,MINER,201
Don Rone,State Representative,149,REP,Scott,MINER,x
Herman Morse,State Representative,151,REP,Scott,MINER,x
Carla (Coffee) Wright,U S Senate,,DEM,Scott,MINER,9
Angelica Earl,U S Senate,,DEM,Scott,MINER,4
Leonard Joseph Steinman II,U S Senate,,DEM,Scott,MINER,7
John Hogan,U S Senate,,DEM,Scott,MINER,10
Travis Gonzalez,U S Senate,,DEM,Scott,MINER,3
David Faust,U S Senate,,DEM,Scott,MINER,20
Claire McCaskill,U S Senate,,DEM,Scott,MINER,72
Nicole Galloway,State Auditor,,DEM,Scott,MINER,99
Kathy Ellis,U S House,8,DEM,Scott,MINER,97
Bill Burlison,State Representative,149,DEM,Scott,MINER,x
J T (Jerry) Howard,State Representative,151,DEM,Scott,MINER,x
Japheth Campbell,U S Senate,,LIB,Scott,MINER,1
Sean O'Toole,State Auditor,,LIB,Scott,MINER,1
Jonathan L Shell,U S House,8,LIB,Scott,MINER,1
Rick Vandeven,State Representative,151,LIB,Scott,MINER,x
Jo Crain,U S Senate,,GRN,Scott,MINER,0
Jerome Bauer,U S Senate,,GRN,Scott,MINER,0
Don Fitz,State Auditor,,GRN,Scott,MINER,0
Jacob Luetkemeyer,State Auditor,,CON,Scott,MINER,0
