candidate,office,district,party,county,precinct,election_day,absentee,provisional,votes
,Registered Voters,,,Bates,Adrian North,,,,1176
,Ballots Cast,,,Bates,Adrian North,489,,,489
Tony Monetti,U.S. Senate,,REP,Bates,Adrian North,21,0,0,21
Austin Petersen,U.S. Senate,,REP,Bates,Adrian North,20,0,0,20
Josh Hawley,U.S. Senate,,REP,Bates,Adrian North,141,0,0,141
Fred Ryman,U.S. Senate,,REP,Bates,Adrian North,2,0,0,2
Christina Smith,U.S. Senate,,REP,Bates,Adrian North,22,0,0,22
Kristi Nichols,U.S. Senate,,REP,Bates,Adrian North,18,0,0,18
Bradley Krembs,U.S. Senate,,REP,Bates,Adrian North,7,0,0,7
Ken Patterson,U.S. Senate,,REP,Bates,Adrian North,15,0,0,15
Brian G Hagg,U.S. Senate,,REP,Bates,Adrian North,8,0,0,8
Courtland Sykes,U.S. Senate,,REP,Bates,Adrian North,4,0,0,4
Peter Pfeifer,U.S. Senate,,REP,Bates,Adrian North,6,0,0,6
Kevin M Roach,State Auditor,,REP,Bates,Adrian North,54,0,0,54
David Wasinger,State Auditor,,REP,Bates,Adrian North,58,0,0,58
Paul Curtman,State Auditor,,REP,Bates,Adrian North,35,0,0,35
Saundra McDowell,State Auditor,,REP,Bates,Adrian North,83,0,0,83
John Webb,U.S. House,4,REP,Bates,Adrian North,71,0,0,71
Vicky Hartzler,U.S. House,4,REP,Bates,Adrian North,211,0,0,211
Jack Bondon,State Representative,56,REP,Bates,Adrian North,,,,0
Rodger L Reedy,State Representative,57,REP,Bates,Adrian North,52,0,0,52
Bill Yarberry,State Representative,126,REP,Bates,Adrian North,47,0,0,47
Patricia Pike,State Representative,126,REP,Bates,Adrian North,176,0,0,176
Carla (Coffee) Wright,U.S. Senate,,DEM,Bates,Adrian North,13,0,0,13
Angelica Earl,U.S. Senate,,DEM,Bates,Adrian North,4,0,0,4
Leonard Joseph Steinman II,U.S. Senate,,DEM,Bates,Adrian North,5,0,0,5
John Hogan,U.S. Senate,,DEM,Bates,Adrian North,16,0,0,16
Travis Gonzalez,U.S. Senate,,DEM,Bates,Adrian North,1,0,0,1
David Faust,U.S. Senate,,DEM,Bates,Adrian North,7,0,0,7
Claire McCaskill,U.S. Senate,,DEM,Bates,Adrian North,82,0,0,82
Nicole Galloway,State Auditor,,DEM,Bates,Adrian North,110,0,0,110
Renee Hoagenson,U.S. House,4,DEM,Bates,Adrian North,53,0,0,53
Hallie J Thompson,U.S. House,4,DEM,Bates,Adrian North,62,0,0,62
Joan Shores,State Representative,57,DEM,Bates,Adrian North,38,0,0,38
Jim Hogan,State Representative,126,DEM,Bates,Adrian North,85,0,0,85
Japheth Campbell,U.S. Senate,,LIB,Bates,Adrian North,1,0,0,1
Sean O'Toole,State Auditor,,LIB,Bates,Adrian North,0,0,0,0
Steven Koonse,U.S. House,4,LIB,Bates,Adrian North,0,0,0,0
Mark Bliss,U.S. House,4,LIB,Bates,Adrian North,1,0,0,1
Jo Crain,U.S. Senate,,GRN,Bates,Adrian North,0,0,0,0
Jerome Bauer,U.S. Senate,,GRN,Bates,Adrian North,0,0,0,0
Don Fitz,State Auditor,,GRN,Bates,Adrian North,0,0,0,0
Jacob Luetkemeyer,State Auditor,,CON,Bates,Adrian North,0,0,0,0
Stephen Biles,State Representative,126,CON,Bates,Adrian North,0,0,0,0
,Registered Voters,,,Bates,Adrian South,,,,1471
,Ballots Cast,,,Bates,Adrian South,631,,,631
Tony Monetti,U.S. Senate,,REP,Bates,Adrian South,33,0,0,33
Austin Petersen,U.S. Senate,,REP,Bates,Adrian South,24,0,0,24
Josh Hawley,U.S. Senate,,REP,Bates,Adrian South,222,0,0,222
Fred Ryman,U.S. Senate,,REP,Bates,Adrian South,6,0,0,6
Christina Smith,U.S. Senate,,REP,Bates,Adrian South,14,0,0,14
Kristi Nichols,U.S. Senate,,REP,Bates,Adrian South,29,0,0,29
Bradley Krembs,U.S. Senate,,REP,Bates,Adrian South,3,0,0,3
Ken Patterson,U.S. Senate,,REP,Bates,Adrian South,15,0,0,15
Brian G Hagg,U.S. Senate,,REP,Bates,Adrian South,7,0,0,7
Courtland Sykes,U.S. Senate,,REP,Bates,Adrian South,9,0,0,9
Peter Pfeifer,U.S. Senate,,REP,Bates,Adrian South,10,0,0,10
Kevin M Roach,State Auditor,,REP,Bates,Adrian South,112,0,0,112
David Wasinger,State Auditor,,REP,Bates,Adrian South,74,0,0,74
Paul Curtman,State Auditor,,REP,Bates,Adrian South,49,0,0,49
Saundra McDowell,State Auditor,,REP,Bates,Adrian South,91,0,0,91
John Webb,U.S. House,4,REP,Bates,Adrian South,102,0,0,102
Vicky Hartzler,U.S. House,4,REP,Bates,Adrian South,291,0,0,291
Jack Bondon,State Representative,56,REP,Bates,Adrian South,21,0,0,21
Rodger L Reedy,State Representative,57,REP,Bates,Adrian South,31,0,0,31
Bill Yarberry,State Representative,126,REP,Bates,Adrian South,92,0,0,92
Patricia Pike,State Representative,126,REP,Bates,Adrian South,238,0,0,238
Carla (Coffee) Wright,U.S. Senate,,DEM,Bates,Adrian South,19,0,0,19
Angelica Earl,U.S. Senate,,DEM,Bates,Adrian South,4,0,0,4
Leonard Joseph Steinman II,U.S. Senate,,DEM,Bates,Adrian South,3,0,0,3
John Hogan,U.S. Senate,,DEM,Bates,Adrian South,35,0,0,35
Travis Gonzalez,U.S. Senate,,DEM,Bates,Adrian South,3,0,0,3
David Faust,U.S. Senate,,DEM,Bates,Adrian South,4,0,0,4
Claire McCaskill,U.S. Senate,,DEM,Bates,Adrian South,130,0,0,130
Nicole Galloway,State Auditor,,DEM,Bates,Adrian South,171,0,0,171
Renee Hoagenson,U.S. House,4,DEM,Bates,Adrian South,75,0,0,75
Hallie J Thompson,U.S. House,4,DEM,Bates,Adrian South,100,0,0,100
Joan Shores,State Representative,57,DEM,Bates,Adrian South,19,0,0,19
Jim Hogan,State Representative,126,DEM,Bates,Adrian South,145,0,0,145
Japheth Campbell,U.S. Senate,,LIB,Bates,Adrian South,1,0,0,1
Sean O'Toole,State Auditor,,LIB,Bates,Adrian South,1,0,0,1
Steven Koonse,U.S. House,4,LIB,Bates,Adrian South,1,0,0,1
Mark Bliss,U.S. House,4,LIB,Bates,Adrian South,0,0,0,0
Jo Crain,U.S. Senate,,GRN,Bates,Adrian South,0,0,0,0
Jerome Bauer,U.S. Senate,,GRN,Bates,Adrian South,0,0,0,0
Don Fitz,State Auditor,,GRN,Bates,Adrian South,0,0,0,0
Jacob Luetkemeyer,State Auditor,,CON,Bates,Adrian South,0,0,0,0
Stephen Biles,State Representative,126,CON,Bates,Adrian South,0,0,0,0
,Registered Voters,,,Bates,Amoret,,,,329
,Ballots Cast,,,Bates,Amoret,167,,,167
Tony Monetti,U.S. Senate,,REP,Bates,Amoret,10,0,0,10
Austin Petersen,U.S. Senate,,REP,Bates,Amoret,5,0,0,5
Josh Hawley,U.S. Senate,,REP,Bates,Amoret,47,0,0,47
Fred Ryman,U.S. Senate,,REP,Bates,Amoret,1,0,0,1
Christina Smith,U.S. Senate,,REP,Bates,Amoret,8,0,0,8
Kristi Nichols,U.S. Senate,,REP,Bates,Amoret,7,0,0,7
Bradley Krembs,U.S. Senate,,REP,Bates,Amoret,0,0,0,0
Ken Patterson,U.S. Senate,,REP,Bates,Amoret,5,0,0,5
Brian G Hagg,U.S. Senate,,REP,Bates,Amoret,0,0,0,0
Courtland Sykes,U.S. Senate,,REP,Bates,Amoret,2,0,0,2
Peter Pfeifer,U.S. Senate,,REP,Bates,Amoret,5,0,0,5
Kevin M Roach,State Auditor,,REP,Bates,Amoret,26,0,0,26
David Wasinger,State Auditor,,REP,Bates,Amoret,16,0,0,16
Paul Curtman,State Auditor,,REP,Bates,Amoret,13,0,0,13
Saundra McDowell,State Auditor,,REP,Bates,Amoret,22,0,0,22
John Webb,U.S. House,4,REP,Bates,Amoret,30,0,0,30
Vicky Hartzler,U.S. House,4,REP,Bates,Amoret,71,0,0,71
Jack Bondon,State Representative,56,REP,Bates,Amoret,,,,0
Rodger L Reedy,State Representative,57,REP,Bates,Amoret,,,,0
Bill Yarberry,State Representative,126,REP,Bates,Amoret,14,0,0,14
Patricia Pike,State Representative,126,REP,Bates,Amoret,85,0,0,85
Carla (Coffee) Wright,U.S. Senate,,DEM,Bates,Amoret,5,0,0,5
Angelica Earl,U.S. Senate,,DEM,Bates,Amoret,2,0,0,2
Leonard Joseph Steinman II,U.S. Senate,,DEM,Bates,Amoret,1,0,0,1
John Hogan,U.S. Senate,,DEM,Bates,Amoret,9,0,0,9
Travis Gonzalez,U.S. Senate,,DEM,Bates,Amoret,2,0,0,2
David Faust,U.S. Senate,,DEM,Bates,Amoret,0,0,0,0
Claire McCaskill,U.S. Senate,,DEM,Bates,Amoret,27,0,0,27
Nicole Galloway,State Auditor,,DEM,Bates,Amoret,41,0,0,41
Renee Hoagenson,U.S. House,4,DEM,Bates,Amoret,18,0,0,18
Hallie J Thompson,U.S. House,4,DEM,Bates,Amoret,22,0,0,22
Joan Shores,State Representative,57,DEM,Bates,Amoret,,,,0
Jim Hogan,State Representative,126,DEM,Bates,Amoret,41,0,0,41
Japheth Campbell,U.S. Senate,,LIB,Bates,Amoret,0,0,0,0
Sean O'Toole,State Auditor,,LIB,Bates,Amoret,0,0,0,0
Steven Koonse,U.S. House,4,LIB,Bates,Amoret,0,0,0,0
Mark Bliss,U.S. House,4,LIB,Bates,Amoret,0,0,0,0
Jo Crain,U.S. Senate,,GRN,Bates,Amoret,0,0,0,0
Jerome Bauer,U.S. Senate,,GRN,Bates,Amoret,0,0,0,0
